,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
0,-9222343030411238369,Gh62,ParPR2,783.6103299479187,904.5197517699116,867.9297754386888,872.4914351202577,547.0,446.0,429.0,410.0,2.0
1,-9221934986235000470,Blank2,EC10,730.148108602272,8150.237588602847,4248.061126284091,3387.154240442712,626.0,525.0,452.0,411.0,2.0
2,-9220462868383477967,Blank2,Gh50,786.0678336651393,5364.846985340189,2955.230959767609,3101.701255407046,636.0,597.0,560.0,549.0,2.0
3,-9219511701005432558,EC10,PH,857.5648870002333,1087.21349333023,1070.9181890613525,1106.9298111408195,577.0,599.0,530.0,491.0,2.0
4,-9219174344834431187,Gh28,Og87,681.8774633830491,4440.626149145599,2936.069442830281,2774.2129482273767,573.0,505.0,477.0,472.0,2.0
5,-9215464238508185804,EC18,OGI33-L,657.6881300487181,1144.3414564188315,1170.543264451667,1201.7894749205666,641.0,603.0,567.0,548.0,2.0
6,-9214879426411518589,EC17,Gh38,831.9163461011591,1295.490938369281,1379.3187418467812,1517.0869586986043,580.0,599.0,527.0,449.0,2.0
7,-9213680608785007604,Blank1,Blank1,701.9168775473516,4473.861972731587,8062.00467269456,5299.7176314888775,527.0,531.0,486.0,465.0,2.0
8,-9213680608785007604,Blank1,Blank1,686.6790132933618,4376.73921701473,7886.9871788186365,5184.666433211263,527.0,531.0,486.0,465.0,2.0
9,-9213680608785007604,Blank1,Blank1,686.6790132933618,4376.73921701473,7886.9871788186365,5184.666433211263,527.0,531.0,486.0,465.0,2.0
10,-9213680608785007604,Blank1,Blank1,672.0886871325866,4283.743725000734,7719.40711136774,5074.504373746869,527.0,531.0,486.0,465.0,2.0
11,-9213040953278617892,EC12,LA,819.2610554832193,1130.8085763322304,883.7274099573506,908.3151756920784,610.0,574.0,539.0,514.0,2.0
12,-9212875862086852585,Gh44,Gh50,721.6772362713325,1054.5111055036823,938.511374471424,904.170880032698,604.0,544.0,494.0,499.0,2.0
13,-9212632909102379993,PK,SF1,795.6723549693774,1069.051993846853,1063.7751415530367,1108.0360834958644,644.0,598.0,558.0,549.0,2.0
14,-9211828162404224974,Mono1,PP,716.4694401528072,816.8005654470212,789.1430649049303,759.4668220159555,621.0,501.0,487.0,502.0,2.0
15,-9210044532681046774,RP2,Ut14,831.7948735327867,1017.1914092443856,1021.2623207131852,1014.512652924524,596.0,500.0,467.0,483.0,2.0
16,-9208470386792219073,Gh50,PP,779.2451855200492,875.2163621615115,833.9343376239524,834.5492825617533,567.0,448.0,437.0,416.0,2.0
17,-9207904761508113914,CF,Ecoli,653.7420728970803,784.3639734295737,792.5712727905396,815.3347094510677,563.0,544.0,476.0,439.0,2.0
18,-9207060404164061799,EA,Gh43,931.1701284969296,1081.772685209402,1052.1321088697198,1078.4942782561616,630.0,592.0,554.0,514.0,2.0
19,-9206950251913020480,BI,PAg1,653.0356483801872,751.3012529868151,722.0216903951065,737.3497488365635,622.0,491.0,454.0,424.0,2.0
20,-9206542207736782581,BI,Gh68,788.4272707345176,1119.002170956761,1114.309474462132,1166.8068178440478,625.0,577.0,534.0,488.0,2.0
21,-9205785478066303652,Gh67,Og84,679.0859663804888,985.829022491999,905.3270957421784,845.4789674523445,622.0,564.0,513.0,503.0,2.0
22,-9204772602580743093,Og87,SF1,869.9455396540925,1397.4341815317282,1363.687649072608,1391.2762496225191,649.0,618.0,553.0,497.0,2.0
23,-9203857299010867160,Og85,Og85,942.1086231459228,1609.6283271494929,1705.8563162221749,1710.4943301652502,507.0,466.0,425.0,412.0,2.0
24,-9203857299010867160,Og85,Og85,938.593163535421,1603.6220310250417,1699.490947268249,1704.1116545544392,507.0,466.0,425.0,412.0,2.0
25,-9203857299010867160,Og85,Og85,938.5931635354212,1603.6220310250417,1699.4909472682496,1704.1116545544394,507.0,466.0,425.0,412.0,2.0
26,-9203857299010867160,Og85,Og85,935.1038421261314,1597.6603930090696,1693.1729062068166,1697.7764355148513,507.0,466.0,425.0,412.0,2.0
27,-9200202036094344274,EC14,ParPR2,828.5179135326974,912.327452903118,892.7751476583401,903.48485178113,566.0,527.0,484.0,453.0,2.0
28,-9197865812862669883,Gh67,PK,712.0003911955457,1253.352427779315,1142.998428775467,1062.8562468641403,571.0,375.0,329.0,340.0,2.0
29,-9193847007484673866,EC1,Mono2,616.5514560948463,5798.4223587953165,3167.364254493433,2989.3639223872315,517.0,585.0,505.0,499.0,2.0
30,-9193731288367529608,CF,RP1_B,637.8208582443913,868.4334628831782,877.923154709348,1045.4998101132353,592.0,409.0,400.0,397.0,2.0
31,-9191806451529141141,Gh30,Ut14,805.4172775996782,1102.5270939251618,988.8159320169452,976.4635478337206,565.0,518.0,497.0,497.0,2.0
32,-9191803109312093116,Blank2,PP,787.6364181636828,816.3369288561851,794.1391586573368,795.4752215753566,621.0,452.0,457.0,454.0,2.0
33,-9191395065135855217,EC12,SF1,884.9893073236826,1459.5037529508234,1584.3280147233104,1855.0505838027864,546.0,556.0,517.0,466.0,2.0
34,-9190095212263568778,Blank2,Gh35,787.1936869535502,942.6303907719232,898.0093795137827,896.9573002838115,612.0,593.0,546.0,530.0,2.0
35,-9186756623464124933,EC14,Mono2,775.2652714268999,9264.246812950709,4707.340530016486,3812.432238299674,597.0,572.0,503.0,481.0,2.0
36,-9185763767191219819,EC12,Gh30,716.4116281607946,1202.7001994122645,1323.5605547156429,1556.15636106157,514.0,436.0,428.0,426.0,2.0
37,-9184809257596126385,Gh35,Og90,874.9962520912574,1186.5371178811586,1182.180624203399,1203.5821787640791,529.0,570.0,556.0,508.0,2.0
38,-9183835588135783327,EC12,SF2,794.8216977097709,1207.2245355931843,1257.5317401689597,1304.729043818587,582.0,473.0,465.0,459.0,2.0
39,-9183761557913498774,EC9,Mono1,911.4108697276006,1585.8535545524126,1589.3537795790264,2287.359090949792,712.0,683.0,658.0,605.0,2.0
40,-9180765137315927656,CB,Ecoli,696.4399601361141,1233.5173714492942,1247.8183908782162,1262.713959835125,492.0,517.0,447.0,378.0,2.0
41,-9178176760894594437,EC14,Gh44,821.3464035316068,1150.5777028370603,1041.3463485775394,1114.718385253317,595.0,532.0,434.0,212.0,2.0
42,-9177537105388204725,EA,Mono2,778.2105800016873,1106.4534077128253,1122.6206827768176,1156.4953693137263,602.0,575.0,486.0,432.0,2.0
43,-9175814524468311583,EC14,Mono2,746.6968489563591,7994.05724456016,4027.033730610885,1925.9107242190005,651.0,599.0,318.0,132.0,2.0
44,-9175679445442741972,Gh43,Mono2,698.8689710256662,828.9366311828122,803.0616124204289,803.7394766405205,594.0,562.0,561.0,534.0,2.0
45,-9174702433765350889,EC11,Gh54,819.3236955755724,6690.191924511749,3600.5342968947257,3634.662717060616,602.0,567.0,534.0,504.0,2.0
46,-9174294389589112990,CB,EA,874.0234771868849,1152.9376070108249,1157.2347903700818,1177.8599904360144,467.0,495.0,465.0,438.0,2.0
47,-9172794273922569842,CF,Gh62,620.9459393987756,770.3561906270911,788.0695877285942,794.157557483091,511.0,503.0,473.0,472.0,2.0
48,-9172586492540588652,Blank1,Gh40,663.1504451330552,5666.24783417379,3029.766550384109,3070.303180467826,592.0,557.0,478.0,461.0,2.0
49,-9171066357661390059,Gh24,Gh43,792.287309873714,923.65132177789,875.454700868681,869.5241889578455,579.0,586.0,565.0,530.0,2.0
50,-9170658313485152160,Blank2,CB,697.2866555870829,1023.139841281587,1014.6175709706416,962.2513591448162,498.0,468.0,426.0,425.0,2.0
51,-9169566241994846911,EC12,Gh50,787.302482273422,1419.9710226656766,1584.2273969951514,1592.8550321103246,633.0,534.0,503.0,489.0,2.0
52,-9165919228857244897,EC10,EC12,793.9859202830945,1555.5096766698816,2066.4718728542894,2399.327411490291,593.0,541.0,497.0,459.0,2.0
53,-9164863279395696414,Gh43,Og84,657.2291351461866,743.591758930936,749.9146172521181,736.8271810191243,682.0,661.0,626.0,532.0,2.0
54,-9164615629147230838,EC1,Gh12,878.258208741186,8754.908297013188,4894.813243891547,3962.655843806674,581.0,529.0,467.0,444.0,2.0
55,-9164072505945423328,EC18,ParPR2,859.0346038661022,1084.4018095051515,1409.3110936842036,1672.0220444582064,543.0,397.0,396.0,376.0,2.0
56,-9163876053886681797,Blank2,OGI33-L,590.3833366268343,6017.939020549049,1284.413251824286,998.2849149814714,689.0,504.0,162.0,200.0,2.0
57,-9163664461769185429,Gh22,Gh43,769.9598271764413,948.4016358698416,866.1233166728723,829.1989788625447,572.0,521.0,469.0,454.0,2.0
58,-9162375938220138649,Gh12,Gh30,858.9477000968353,2667.476902892692,1672.0329946608908,1731.7266105119495,545.0,114.0,159.0,132.0,2.0
59,-9162144326889986836,EC1,Gh9,720.4519159004875,889.4608909408905,818.9454935055406,798.8810806572676,585.0,615.0,579.0,549.0,2.0
60,-9160968616009628824,BI,Mono2,721.1173532992552,995.3588654999784,1161.8254563836097,1471.2909843084133,678.0,558.0,248.0,151.0,2.0
61,-9160346723918926703,Gh22,Gh28,901.8626605944096,4388.475114901867,2989.455853810672,2860.194997928824,561.0,522.0,453.0,407.0,2.0
62,-9159147906292415718,Gh59,RP1_B,729.0910370052294,826.2372522465286,837.6338372596205,862.7580813960712,624.0,516.0,463.0,428.0,2.0
63,-9158392531668881748,EC17,EC9,968.5390510623168,1571.7234039067098,2147.6311570602365,3107.316495507406,664.0,604.0,469.0,260.0,2.0
64,-9157601758218608662,Og87,RP2,788.2234203360058,1345.2876690033006,1557.6799738592083,1621.9654388389515,624.0,591.0,577.0,554.0,2.0
65,-9156785669866132864,EA,Gh35,922.8095436522289,1116.097278834519,1164.53243372323,1273.065415254606,673.0,625.0,499.0,273.0,2.0
66,-9155396111071310630,Og92,SF1,669.1870889781079,865.0877924059772,819.3176427275579,823.8110401372426,564.0,500.0,491.0,492.0,2.0
67,-9149769720688548079,Blank1,EC9,815.7066508367537,1039.907581078313,1037.646196852803,1023.5600552537862,600.0,551.0,522.0,510.0,2.0
68,-9148818553310502670,Gh24,ParPR2,751.8385894603235,943.9874339773068,885.0199036269031,874.2825260052047,597.0,532.0,501.0,479.0,2.0
69,-9147762603848954187,Mono1,PAg1,728.3598824306432,912.3544710309766,830.3295836354707,847.5554818594002,669.0,616.0,559.0,490.0,2.0
70,-9146699269868692408,Gh29,RP1_A,716.860569253067,1264.317497421609,1379.1376307970938,1415.8243461515265,651.0,584.0,483.0,482.0,2.0
71,-9146474080299907407,EC1,Og90,648.258591056267,1196.1262418323067,1000.22017737016,924.5455462393378,532.0,572.0,523.0,476.0,2.0
72,-9144771090813255916,Gh28,LA,712.163045492105,965.5510657388808,982.2403440933456,971.1255509783898,682.0,611.0,486.0,435.0,2.0
73,-9143246048372184476,BI,Blank1,675.0014346662578,789.1947318684748,821.5013386752324,846.5874174710833,531.0,524.0,454.0,410.0,2.0
74,-9143138579033961090,Gh54,LA,830.1149490120628,1082.5567237264747,1006.3660654876368,1013.4925679752909,599.0,555.0,530.0,508.0,2.0
75,-9142838004195946577,Gh50,KA,885.6608768230913,993.300606823924,899.7275596040096,1129.8102383954058,527.0,459.0,370.0,152.0,2.0
76,-9141971122274426329,Gh35,Gh62,703.3888827714254,1096.5874251711848,1072.6594956363826,1031.8901031809776,597.0,555.0,491.0,489.0,2.0
77,-9141939761407450105,PH,SF2,899.6002347582623,1107.1666495462864,1070.8773352474725,1092.1411259775418,680.0,636.0,502.0,406.0,2.0
78,-9141291856122139521,Gh12,Og84,912.329613371633,1199.6892779169973,1017.0983130514956,959.9501262484343,531.0,661.0,584.0,498.0,2.0
79,-9140639908535163666,Blank2,PH,763.1844892336175,970.61538921896,972.3400204533484,977.3166253697096,606.0,605.0,531.0,517.0,2.0
80,-9140042943218989837,CB,ParPR2,855.2943887101848,1074.3732905530874,1007.8555939809788,994.7129865058428,530.0,449.0,423.0,402.0,2.0
81,-9139595288396854842,Gh12,PAg3,884.8903476411679,991.229113196247,936.2576533511678,936.6180790377384,584.0,522.0,487.0,489.0,2.0
82,-9136367256469131911,EC10,Ut12,947.3757726699432,10429.50061567241,4910.331669498819,4710.019733544862,551.0,488.0,482.0,467.0,2.0
