,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
45,-9174702433765350889,Gh16,Mono1,606.8190895457706,787.5843510783338,825.5695223192398,731.1889874686701,507.0,499.0,451.0,496.0,2.0
46,-9174294389589112990,EC10,Gh54,725.9270960234902,946.0242307634576,915.0777960384318,955.2059629882224,523.0,516.0,443.0,393.0,2.0
47,-9173886345412875091,PAg3,SF1,655.5529729222022,,,,524.0,,,,2.0
48,-9169566241994846911,PAl,PK,726.5677293415158,1008.115380996198,921.3004608598576,915.1120054013974,562.0,559.0,532.0,495.0,2.0
49,-9166660882366756547,Gh44,Og87,570.304741350231,676.1296179068812,798.979035464259,645.569354565618,542.0,523.0,503.0,501.0,2.0
50,-9165919228857244897,KA,PAg1,740.8482852583421,,827.782414452302,798.0728280145462,528.0,,443.0,467.0,2.0
51,-9164615629147230838,EC10,PK,725.8642293355217,966.1369990605464,868.3246411092919,1008.9161773604328,571.0,547.0,511.0,428.0,2.0
52,-9164072505945423328,OGI33-L,PAg1,641.0679211945746,758.272266202976,764.6411086831523,756.7159786612557,588.0,449.0,439.0,437.0,2.0
53,-9163876053886681797,EC16,Ut12,744.9694005289393,987.256154746028,1511.6192253134748,1960.294622906477,593.0,477.0,154.0,128.0,2.0
54,-9163664461769185429,EC10,PAg1,722.4960341722867,862.6876070618526,847.4402219530323,837.1977487439973,563.0,405.0,408.0,408.0,2.0
55,-9162375938220138649,Gh54,Mono2,708.8035460334677,872.5954167569373,1531.7369349237736,1984.6912646320652,685.0,374.0,120.0,199.0,2.0
56,-9158392531668881748,Ecoli,PP,702.6052270688563,853.5940368483365,896.9838840227909,846.1857460815747,616.0,587.0,512.0,455.0,2.0
57,-9157601758218608662,PAl,PK,732.465006692134,809.5792621569018,887.5408172041631,982.2305227906542,578.0,535.0,493.0,493.0,2.0
58,-9157193714042370763,Og85,Ut14,711.5435362634119,825.8444546226496,1253.1649088732938,890.8942670555022,567.0,397.0,525.0,485.0,2.0
59,-9156240468415362745,EC10,PK,661.678855074603,905.667481841024,1254.111636710744,759.7024137090868,539.0,535.0,189.0,456.0,2.0
60,-9155396111071310630,Gh16,SF2,682.8209398462536,,791.4948468036247,765.1110727143598,540.0,,502.0,500.0,2.0
61,-9150562572387783774,PAg1,PAl,769.8522509986642,1181.95019625543,1190.277168992005,934.9997920510156,587.0,328.0,269.0,413.0,2.0
62,-9149769720688548079,Ecoli,Og87,683.2841747955016,1123.5975225959803,1127.3919674695885,832.3753173133839,558.0,526.0,496.0,497.0,2.0
63,-9148818553310502670,Gh44,Gh54,699.7068575251898,784.7850227041772,761.217294476685,744.9147440280292,510.0,629.0,599.0,544.0,2.0
64,-9147762603848954187,EC10,LA,787.7957300275015,1486.7083166422085,1192.4465024926828,1237.3268396753122,617.0,649.0,505.0,399.0,2.0
65,-9146066036123669508,CF,Gh11,616.3834133010924,724.0656126194752,710.5305202919336,792.3219738629167,589.0,381.0,428.0,219.0,2.0
66,-9144519888049862452,CF,Gh50,731.374595958218,1028.7749105240714,943.026848704718,900.4816775033595,467.0,535.0,346.0,440.0,2.0
67,-9143867940462886597,LA,PH,766.1813036341548,986.1802184604664,1077.1830613747468,1518.875742876386,572.0,295.0,169.0,161.0,2.0
68,-9143246048372184476,Gh50,RP2,616.8514155699803,1281.4323776945523,765.6753989898887,1329.5154730808767,528.0,495.0,453.0,324.0,2.0
69,-9142838004195946577,EC14,Gh54,655.8333534896918,979.4712748040726,773.1034606911494,,595.0,473.0,403.0,,2.0
70,-9142591708994425960,Blank2,CF,604.5159329926919,781.0095680850314,658.6773139264636,743.7656129938443,591.0,411.0,515.0,436.0,2.0
71,-9141971122274426329,Gh28,Og122,624.6182260435426,933.117016186424,895.6558879944652,699.9749153947419,565.0,511.0,460.0,376.0,2.0
72,-9140639908535163666,Gh59,Mono1,695.6666296542121,850.5384055443424,796.9533202809528,766.1691208300557,560.0,556.0,535.0,510.0,2.0
73,-9140042943218989837,Gh50,RP1,711.8528744415266,978.5254990654412,898.3464691131842,1304.9709892798269,551.0,452.0,416.0,308.0,2.0
74,-9140003332573092741,Og85,PH,685.0063730634074,812.9161823460614,794.0938458052549,772.5860707478128,495.0,464.0,435.0,435.0,2.0
75,-9139595288396854842,EC1,Gh61,741.6117696638429,916.800256315238,805.1756575874824,893.3536152306974,548.0,541.0,519.0,488.0,2.0
76,-9137211613813184026,Gh11,Gh9,603.3058224697861,738.8110292511462,826.2787826484399,708.1828948928973,578.0,509.0,500.0,437.0,2.0
77,-9136144727317994359,Blank2,Mono2,568.1274029303579,859.626393601567,800.1861281269065,715.4793075210894,585.0,638.0,542.0,480.0,2.0
78,-9135959212292894012,Gh29,PAg1,683.31011722005,777.6723153724066,788.9217881334301,818.714812762002,573.0,545.0,543.0,319.0,2.0
79,-9134867140802588763,OGI19-L,PAl,687.2812340080362,748.2125512602049,,829.3298292730454,642.0,519.0,,343.0,2.0
