,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
0,-9223147777109393388,Ecoli,LA,598.0547284017927,708.218905698427,708.7383292836779,713.736543383881,535.0,390.0,427.0,388.0,2.0
1,-9220462868383477967,EA,PAg3,757.589367091037,871.5090207402642,897.2428022311451,875.1007978149479,470.0,256.0,293.0,297.0,2.0
2,-9219511701005432558,Blank2,EC14,595.6739398632882,698.1537271632297,737.7675356656455,742.1350434750407,570.0,388.0,409.0,388.0,2.0
3,-9218534689328041475,Gh43,PK,781.2179473969956,869.3365959207173,890.8375710287685,889.0024645244257,577.0,191.0,225.0,241.0,2.0
4,-9216677029382578722,EC1,Gh16,791.6583655401168,912.331764068424,932.9658707358552,906.2449744644928,551.0,265.0,349.0,362.0,2.0
5,-9216103894014575516,Ecoli,PK,556.0866196005085,634.7308852524401,661.8049569755276,667.2301315242152,553.0,419.0,399.0,346.0,2.0
6,-9215464238508185804,OGI33-L,PP,723.0663883844435,833.882885670876,868.4999845327436,878.7750521475326,579.0,279.0,331.0,328.0,2.0
7,-9214879426411518589,Gh30,SF2,664.4950842582122,836.2889783297593,1105.295937783285,1295.550650381546,594.0,468.0,211.0,177.0,2.0
8,-9213831726728890978,Gh11,PAl,629.9797762726638,735.220319619345,759.5184942342217,741.9004558329201,650.0,471.0,464.0,451.0,2.0
9,-9213680608785007604,Gh43,Gh50,696.5413429663364,826.035264455091,842.1711369969378,831.4325123841769,591.0,377.0,398.0,405.0,2.0
10,-9212951247356082097,Gh12,Gh35,747.9180994827311,912.8562088222366,953.2788033080192,949.5470547623808,619.0,480.0,473.0,428.0,2.0
11,-9212875862086852585,BI,CF,564.262696123787,652.2555157357367,637.5638279228907,626.5279449002757,522.0,308.0,424.0,423.0,2.0
12,-9211828162404224974,BI,EA,650.8802129865371,773.7743086130736,793.4912245721692,937.5713436023906,561.0,417.0,440.0,403.0,2.0
13,-9210044532681046774,EC10,Gh44,655.8953015611174,781.1265327082161,755.4987835186176,744.5350037061094,570.0,474.0,456.0,469.0,2.0
14,-9207904761508113914,Gh24,Og87,614.9613851763787,738.6785668304708,752.3247184201788,743.7357431842275,567.0,368.0,394.0,371.0,2.0
15,-9207060404164061799,BI,Gh22,628.0908291175408,693.6321201324183,713.8678840383457,723.9298514226173,584.0,390.0,412.0,419.0,2.0
