,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
0,-9223147777109393388,EC17,Gh9,577.6306190660265,,,,490.0,,,,2.0
1,-9222343030411238369,Gh54,KA,574.154982295339,732.6525663762992,743.077984387737,718.6760954014977,582.0,561.0,500.0,444.0,2.0
2,-9221934986235000470,Gh62,Mono2,602.9670484854655,889.8429966699247,915.274847683918,802.3049324679231,570.0,529.0,459.0,410.0,2.0
3,-9221219598053956896,Blank2,OGI33-L,551.6027834040477,768.8720967473048,760.6269505073706,679.8709459444989,608.0,573.0,478.0,435.0,2.0
4,-9220462868383477967,EC17,Gh68,698.7533604095607,1297.5522408277436,1326.8683445127072,1189.3101594981615,496.0,472.0,451.0,443.0,2.0
5,-9219511701005432558,OGI33-L,PH,706.9252635154569,808.846140199779,845.6086831595252,835.5085664905444,604.0,608.0,560.0,501.0,2.0
6,-9219100314612146634,EC1,LA,709.4305172516889,1021.893632323735,994.3583240704792,1069.234653966675,583.0,558.0,511.0,486.0,2.0
7,-9218667343661380443,EC11,Gh50,840.3128588728371,1151.9179541687265,1144.0151455776029,1032.4104558332238,693.0,647.0,546.0,486.0,2.0
8,-9216677029382578722,Gh30,Gh43,674.2173184656976,771.3988190842427,777.9634347546706,758.7669053287146,615.0,587.0,565.0,537.0,2.0
9,-9215872282684423703,Mono1,ParPR2,599.3087416193656,779.5183559097904,681.9639266411941,657.1967435296463,592.0,563.0,521.0,506.0,2.0
10,-9214372167017880555,BI,EC14,656.6358480501101,774.1506784941996,818.200549001466,801.4710505037347,574.0,532.0,481.0,433.0,2.0
11,-9213964122841642656,Blank2,Mono1,527.2124840828682,753.7272963078879,737.8022488544634,626.6178717590697,659.0,564.0,486.0,431.0,2.0
12,-9212875862086852585,Gh22,Ut22,663.4489194389994,733.5896425299686,792.4735349470579,810.9527637557404,485.0,542.0,419.0,174.0,2.0
13,-9212632909102379993,CB,Gh59,819.1959807161014,1033.057175816606,1064.5255097177546,1039.6704777172758,547.0,539.0,498.0,491.0,2.0
14,-9211828162404224974,Gh43,Ut14,591.4427260468625,690.492257646692,731.8722307931854,721.2470909921625,617.0,606.0,532.0,513.0,2.0
15,-9211752429729571112,Og85,SF2,663.846611926643,1110.5308459756368,1077.2550635100115,989.0631517391593,525.0,490.0,454.0,437.0,2.0
16,-9210044532681046774,CF,RP2,591.5530674499272,981.5089399517772,953.5472562175036,966.7632008292744,535.0,535.0,452.0,390.0,2.0
17,-9208470386792219073,LA,ParPR2,641.6145533124475,820.9182564204849,773.7895964017894,765.0016726312035,591.0,526.0,472.0,427.0,2.0
18,-9207904761508113914,EC18,Gh44,544.2457326734085,670.9923553280568,714.4133838219973,708.6037732187734,525.0,469.0,437.0,393.0,2.0
19,-9207060404164061799,EA,Gh44,668.1249033495391,749.3838684654008,749.0703444323165,732.9263393793578,629.0,589.0,557.0,546.0,2.0
20,-9206542207736782581,Og84,PK,614.7956111903784,776.5623655027707,716.2910198895751,698.7591816933061,610.0,542.0,486.0,439.0,2.0
21,-9205785478066303652,Gh16,Gh54,670.0548957304272,784.9392924280463,822.1971095949801,807.8931507206294,568.0,591.0,499.0,480.0,2.0
22,-9204834310688258243,CF,Gh61,616.0701961218421,745.1832446119515,714.4103924208247,697.7514413445766,599.0,541.0,518.0,464.0,2.0
23,-9201999639065404407,EC14,EC9,740.7918999826838,1089.3007771776954,1080.80324356323,972.7735668501964,500.0,511.0,513.0,341.0,2.0
24,-9200202036094344274,Gh50,Og87,665.4159499379592,1292.5601756362314,1254.4331764812016,1112.8335476834825,525.0,469.0,443.0,419.0,2.0
25,-9198363562961443577,EC16,Gh36,686.7760303796254,1149.5475398583403,1216.8256797861884,1142.6564179518025,567.0,531.0,480.0,462.0,2.0
26,-9197865812862669883,EC14,EC16,817.9285251768736,1528.3565104403126,1479.4773299133144,1419.9262309919095,549.0,498.0,447.0,411.0,2.0
27,-9196942643299645119,Gh12,Gh59,800.921544255685,1026.8207277765484,981.0358175827472,931.035936877014,723.0,690.0,632.0,426.0,2.0
28,-9196863447294900429,CF,PK,646.8358720528215,723.3588370313109,748.9077313282601,740.5459008363216,622.0,560.0,506.0,479.0,2.0
29,-9195442527633101971,EC18,Mono1,554.1062267710574,942.7154911000094,999.7906618908112,931.97434955664,572.0,579.0,515.0,490.0,2.0
30,-9194637780934946952,EC10,EC10,655.2372927726827,1014.2185970278792,1038.1723089891473,909.352092416395,502.0,474.0,435.0,412.0,2.0
31,-9194637780934946952,EC10,EC10,652.9245231160708,1010.6387427945344,1034.507906121593,906.1423820569346,502.0,474.0,435.0,412.0,2.0
