,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
0,-9221934986235000470,EC17,PAg1,698.648339278104,791.1521811047439,817.1049324778437,1181.1735470892606,557.0,469.0,480.0,190.0,2.0
1,-9220462868383477967,BI,EC10,703.2505879944574,866.6952832861617,887.3244815506005,932.0772384402412,547.0,467.0,418.0,405.0,2.0
2,-9218667343661380443,OGI33-L,Og84,657.2614690890355,836.9719807723036,849.448863916867,870.1257436702354,618.0,511.0,480.0,470.0,2.0
3,-9215872282684423703,Gh54,Gh68,677.0611926766231,862.438526286912,877.5014495659417,884.7017451992585,535.0,516.0,465.0,378.0,2.0
4,-9213964122841642656,EC12,Ut12,843.8376531725512,1114.9344384962617,1313.3426254150884,1186.2778256787915,511.0,566.0,502.0,339.0,2.0
5,-9213680608785007604,BI,CF,624.1556026133402,773.7565177572841,793.0385445654337,884.1801371351527,515.0,427.0,417.0,400.0,2.0
6,-9213040953278617892,Gh54,Gh68,752.1151254318007,950.2719887364636,986.9893865784236,1032.520049301172,554.0,477.0,435.0,420.0,2.0
7,-9212632909102379993,EC14,Gh30,693.203850798987,912.9550984047504,947.0015974024242,982.8300370400716,494.0,449.0,395.0,374.0,2.0
8,-9211828162404224974,Gh11,ParPR2,633.3129839830987,786.6711456175366,819.761487067875,854.7214197017688,604.0,487.0,441.0,333.0,2.0
9,-9211752429729571112,Blank2,EC17,627.0827718812325,1056.17725007771,1062.763000268911,1091.8281741540109,471.0,414.0,382.0,383.0,2.0
10,-9206542207736782581,EC12,EC14,798.2072255270054,1085.2659848298006,1183.8676462428257,,729.0,783.0,733.0,,2.0
11,-9205785478066303652,EC14,OGI33-L,636.0079446435121,834.4245944330262,803.1933623736873,816.6580712191839,542.0,465.0,428.0,433.0,2.0
12,-9204834310688258243,EC10,Gh22,801.124332547663,1094.4857221216907,1146.562403408764,786.7486811641575,564.0,508.0,469.0,429.0,2.0
13,-9204772602580743093,Gh35,PAg1,784.0162830994022,954.8336588879214,1060.998122413187,1426.4812931556066,620.0,515.0,441.0,372.0,2.0
14,-9204364558404505194,Gh30,RP2,660.4862478144653,1057.8608978508737,1114.5629808854446,1396.815730911376,589.0,473.0,134.0,119.0,2.0
15,-9202790412515677493,EC12,SF2,691.9147873135822,940.6477249970349,984.3866232281644,1023.0575074414382,494.0,506.0,461.0,444.0,2.0
16,-9200202036094344274,EC12,EC17,756.9031610837009,1078.2046067360425,1075.215222979375,1091.1104886328817,591.0,557.0,499.0,484.0,2.0
17,-9198363562961443577,EC12,Gh40,617.7271078200247,904.6596858072828,983.7306520429304,1062.9050797994937,557.0,514.0,430.0,424.0,2.0
18,-9194142674760815532,PAl,RP1_B,686.7313541433185,895.9188082691257,904.9680483792788,945.2725751790867,533.0,439.0,429.0,404.0,2.0
19,-9193847007484673866,Gh68,RP1_B,768.3507989293864,1247.3853389247768,1319.0379648743144,1325.4203644908644,580.0,529.0,465.0,446.0,2.0
