,Hash,sample1,sample2,t0,t1,t2,t3,t0_Area,t1_Area,t2_Area,t3_Area,Total
0,-9223147777109393388,EC12,EC17,765.8250678838577,1385.7792425511934,1460.0657767080393,1420.03938037755,562.0,557.0,521.0,147.0,2.0
1,-9222343030411238369,Gh61,SF1,738.8522559511351,1290.0320416628858,1308.6406788318416,1026.8140064933525,542.0,522.0,486.0,438.0,2.0
2,-9221934986235000470,EC11,Gh30,693.5034663634016,1023.3333362745776,935.5413764174816,860.5977934326652,608.0,573.0,541.0,182.0,2.0
3,-9220462868383477967,Blank2,Mono2,611.3924956827942,825.3389097750825,827.8580773754745,698.4685424050206,528.0,492.0,464.0,425.0,2.0
4,-9219511701005432558,BI,Gh9,669.4300552554106,807.7173066799356,788.1145421586443,,541.0,472.0,456.0,,2.0
5,-9217038384397013505,EC10,KA,705.1134314958016,987.9533821282308,1387.8788898755115,1365.5880967202677,621.0,292.0,139.0,149.0,2.0
6,-9216103894014575516,Gh60,KA,675.1309289070888,777.9590216147109,1096.121588726651,1319.3936739406656,581.0,485.0,176.0,161.0,2.0
7,-9215464238508185804,Gh30,PAg3,692.7511203704022,748.752253184427,746.3456174910067,1000.4670538457538,590.0,528.0,532.0,240.0,2.0
8,-9214879426411518589,Gh30,Og85,735.598413341982,1029.1413836177112,1053.0326628154517,1162.62483574337,480.0,508.0,356.0,177.0,2.0
9,-9214372167017880555,Og90,PK,727.4153664111992,827.6524170288347,806.2796812167401,944.4685703539292,539.0,523.0,489.0,458.0,2.0
10,-9213831726728890978,EC9,SF1,714.178773862921,1048.2835645989082,1392.9354564398675,1868.8002337066628,581.0,528.0,242.0,168.0,2.0
11,-9213680608785007604,Gh12,RP1_A,885.0991665571955,1642.4396360248572,1654.5195650460091,1062.4616476408437,563.0,545.0,533.0,482.0,2.0
12,-9213040953278617892,Og87,PAg3,743.7836886782221,817.6614295138972,832.0888616088342,1011.7993187011294,458.0,421.0,421.0,498.0,2.0
13,-9212875862086852585,Gh43,PK,660.4593124045109,743.3386302189383,740.5859267111637,930.7076959680866,579.0,541.0,532.0,101.0,2.0
14,-9211828162404224974,LA,Mono2,739.8712945355743,1034.7506583073607,1008.1205125758282,873.4617545473329,556.0,527.0,502.0,501.0,2.0
15,-9211752429729571112,CB,PH,713.7716361549059,807.4337081497772,845.9699638777303,817.4588136452843,538.0,546.0,543.0,491.0,2.0
16,-9208470386792219073,Ecoli,Ecoli,674.7755523570875,1065.11877896716,1091.677120995167,867.2959596955837,550.0,530.0,492.0,499.0,2.0
17,-9208470386792219073,Ecoli,Ecoli,677.826677467414,1069.9349147039025,1096.6133452916786,871.2176021905856,550.0,530.0,492.0,499.0,2.0
18,-9208470386792219073,Ecoli,Ecoli,677.826677467414,1069.9349147039025,1096.6133452916786,871.2176021905856,550.0,530.0,492.0,499.0,2.0
19,-9208470386792219073,Ecoli,Ecoli,680.905520386,1074.7948024082227,1101.5944124948658,875.1748706697109,550.0,530.0,492.0,499.0,2.0
20,-9207904761508113914,EC18,OGI33-L,619.4908065972381,1209.9394007243693,1245.293360675751,718.0619287536321,591.0,579.0,570.0,596.0,2.0
21,-9206950251913020480,EC11,OGI19-L,662.7574865578664,1081.466352115362,1000.1281075051644,789.4482769716734,543.0,514.0,472.0,161.0,2.0
22,-9206542207736782581,Og90,PAg1,704.1226399937632,841.0372174168036,868.0329184354331,1111.1183249760943,547.0,445.0,472.0,414.0,2.0
23,-9205785478066303652,BI,Mono1,663.7640590317943,815.422148197994,829.2151324161505,1195.1053053937007,573.0,563.0,514.0,508.0,2.0
24,-9204772602580743093,Blank1,PAl,705.0135613674582,872.7580732397864,957.857483184073,1116.2442670132764,512.0,418.0,335.0,198.0,2.0
25,-9204364558404505194,CF,Ut12,751.0606230335372,818.3655080333897,870.9826697772558,,567.0,466.0,288.0,,2.0
26,-9203857299010867160,OGI33-L,SF2,610.5059754319346,958.9164355609588,990.6932133694646,717.2314869974991,566.0,554.0,543.0,252.0,2.0
27,-9202790412515677493,Blank2,RP1_A,669.1192896773891,1100.0879305703602,1148.42289618663,1242.9231173266733,572.0,579.0,532.0,479.0,2.0
