sample1,A_tumefaciens,B_albus,B_cereus,B_cereus1,B_cereus2,B_izardii1,B_izardii2,B_proteolyticus1,B_proteolyticus2,B_safensis1,B_safensis2,B_subtilis,B_thuringiensis,C_braakii,C_freundii1,C_freundii2,C_lactis1,C_lactis2,C_lactis3,C_lactis4,C_lactis5,C_lactis6,C_lactis7,C_lactis8,C_lathyri2,C_odontotermitis,Cm,EColi_gfp,E_aerogenes,E_americana1,E_americana2,E_americana3,E_cloacae,E_cloacae1,E_cloacae2,E_coli1,F_banpakuense1,F_banpakuense2,F_ginsengiterrae,L_amnigena,L_macroides,M_kyungheense,PAg1_gfp,PP_gfp,P_agglomerans1,P_agglomerans3,P_allii,P_citronellolis,P_corrugata,P_eucalypti,P_helmanticensis,P_koreensis1,P_koreensis2,P_koreensis3,P_monteilii1,P_monteilii2,P_mosselii,P_plecoglossicida1,P_putida1,P_putida2,P_putida3,P_rhodesiae2,P_simiae,P_vagans,P_viridiflava,R_planticola1,R_planticola2,R_planticola3,R_planticola4,S_fonticola1,S_fonticola2,S_fonticola3,S_rhizophila,V_guangxiensis
C_lactis5,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
C_lactis6,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
C_lactis7,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
C_lactis8,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
C_lathyri2,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.15,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
C_odontotermitis,0.17,0.204,0.204,0.204,0.204,0.17,0.17,0.204,0.204,0.204,0.204,0.204,0.204,0.17,0.17,0.17,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.0,0.204,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.265,0.265,0.265,0.17,0.204,0.204,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.048
Cm,0.204,0.186,0.186,0.186,0.186,0.204,0.204,0.186,0.186,0.186,0.186,0.186,0.186,0.204,0.204,0.204,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.204,0.0,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.265,0.265,0.204,0.186,0.046,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204
EColi_gfp,0.166,0.204,0.204,0.204,0.204,0.044,0.044,0.204,0.204,0.204,0.204,0.204,0.204,0.044,0.044,0.044,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.0,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.0,0.265,0.265,0.265,0.044,0.204,0.204,0.044,0.122,0.044,0.044,0.044,0.122,0.122,0.044,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.044,0.122,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.144,0.17
E_aerogenes,0.166,0.204,0.204,0.204,0.204,0.009,0.009,0.204,0.204,0.204,0.204,0.204,0.204,0.009,0.009,0.009,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.0,0.041,0.041,0.041,0.028,0.028,0.028,0.044,0.265,0.265,0.265,0.022,0.204,0.204,0.029,0.122,0.029,0.029,0.029,0.122,0.122,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.144,0.17
E_americana1,0.166,0.204,0.204,0.204,0.204,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.041,0.041,0.041,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.17,0.204,0.044,0.041,0.0,0.008,0.008,0.041,0.041,0.041,0.044,0.265,0.265,0.265,0.041,0.204,0.204,0.041,0.122,0.041,0.041,0.041,0.122,0.122,0.041,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.041,0.122,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.144,0.17
