Sample,BI,BI_gfp,CB,CB2,CF,CF_gfp,Cm,EA,EA2,EA_gfp,EC1,EC9,EC10,EC11,EC12,EC14,EC16,EC17,EC18,EColi,EColi_gfp,Gh9,Gh11,Gh12,Gh16,Gh22,Gh24,Gh27,Gh28,Gh29,Gh30,Gh35,Gh36,Gh38,Gh40,Gh43,Gh44,Gh50,Gh54,Gh59,Gh60,Gh61,Gh62,Gh67,Gh68,KA,LA,Og84,Og85,Og87,Og90,Og92,Og122,OGI19-L,OGI33-L,PAg1,PAg1_gfp,PAg2,PAg3,PAl,PAn,PAr,ParPR2,PH,PK,PP,PP_gfp,PR1,PR2,RP1,RP1_gfp,RP2,RP3,SF1,SF2,SF3,Ut12,Ut14,Ut22
Gh30,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0,0.265,0.02,0.15,0.265,,0.265,0.265,0.265,0.15,0.265,0.265,0,0,0.265,0.265,0.265,0,0.15,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
Gh35,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,0.005,0.016,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.01,0.014,0.005,0.024,0.028,0.028,0.014,0.014,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
Gh36,0.204,0.204,0.204,0.204,0.204,0.204,0.186,0.204,0.204,0.204,0.046,0.015,0.015,0.015,0.015,0.015,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.265,0.204,0.265,0.265,0.052,0.265,0.204,,0.015,0.265,0.204,0.204,0.265,0.265,0.204,0.083,0.204,0.265,0.265,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.046,0.186,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.204
Gh38,0.204,0.204,0.204,0.204,0.204,0.204,0.186,0.204,0.204,0.204,0.046,0,0,0,0,0,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.265,0.204,0.265,0.265,0.052,0.265,0.204,0.015,,0.265,0.204,0.204,0.265,0.265,0.204,0.083,0.204,0.265,0.265,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.046,0.186,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.204
Gh40,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.15,0.265,0.15,0,0.265,0.15,0.265,0.265,0.265,,0.265,0.265,0.15,0.15,0.265,0.265,0.265,0.15,0,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.265
Gh43,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.009,0.009,0.265,0,0.265,0.009,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,,0.056,0.265,0.265,0.026,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,0.003,0.001,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.007,0.028
Gh44,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.056,0.056,0.265,0.056,0.265,0.056,0.265,0.265,0.204,0.265,0.056,0.204,0.204,0.265,0.056,,0.265,0.265,0.056,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.056,0.144,0.17,0.056,0.056,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.056,0.056
Gh50,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0,0.265,0.02,0.15,0.265,0,0.265,0.265,0.265,0.15,0.265,0.265,,0,0.265,0.265,0.265,0,0.15,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
Gh54,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0,0.265,0.02,0.15,0.265,0,0.265,0.265,0.265,0.15,0.265,0.265,0,,0.265,0.265,0.265,0,0.15,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
Gh59,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.026,0.026,0.265,0.026,0.265,0.026,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,0.026,0.056,0.265,0.265,,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,0.026,0.026,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.026,0.028
Gh60,0.204,0.204,0.204,0.204,0.204,0.204,0.186,0.204,0.204,0.204,0.083,0.083,0.083,0.083,0.083,0.083,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.265,0.204,0.265,0.265,0.083,0.265,0.204,0.083,0.083,0.265,0.204,0.204,0.265,0.265,0.204,,0.204,0.265,0.265,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.083,0.186,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.204
Gh61,0.17,0.17,0.17,0.17,0.17,0.17,0.204,0.17,0.17,0.17,0.204,0.204,0.204,0.204,0.204,0.204,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.265,0.17,0.265,0.17,0.265,0.265,0.204,0.265,0.17,0.204,0.204,0.265,0.17,0.17,0.265,0.265,0.17,0.204,,0.265,0.265,0.265,0.17,0.17,0.17,0.17,0.048,0.17,0.17,0.204,0.204,0.265,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.265,0.17,0.17
Gh62,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0,0.265,0.02,0.15,0.265,0,0.265,0.265,0.265,0.15,0.265,0.265,0,0,0.265,0.265,0.265,,0.15,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
Gh67,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.15,0.265,0.15,0,0.265,0.15,0.265,0.265,0.265,0,0.265,0.265,0.15,0.15,0.265,0.265,0.265,0.15,,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.265
Gh68,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0,0.265,0.02,0.15,0.265,0,0.265,0.265,0.265,0.15,0.265,0.265,0,0,0.265,0.265,0.265,0,0.15,,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
KA,0.009,0.009,0.166,0.009,0.009,0.009,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.017,0.017,0.017,0.017,0.037,0.037,0.037,0.265,0.122,0.122
LA,0.022,0.022,0.166,0.022,0.022,0.022,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.022,,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.022,0.022,0.022,0.022,0.037,0.037,0.037,0.265,0.122,0.122
Og84,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.024,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,,0.144,0.17,0.024,0.024,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.024,0.024,0.024,0.012,0.028,0.028,0.024,0.024,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.004
Og85,0.144,0.144,0.166,0.144,0.144,0.144,0.204,0.144,0.144,0.144,0.204,0.204,0.204,0.204,0.204,0.204,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.265,0.144,0.265,0.144,0.265,0.265,0.204,0.265,0.144,0.204,0.204,0.265,0.144,0.144,0.265,0.265,0.144,0.204,0.17,0.265,0.265,0.265,0.144,0.144,0.144,,0.17,0.144,0.144,0.204,0.204,0.265,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.144,0.265,0.144,0.144
Og87,0.17,0.17,0.17,0.17,0.17,0.17,0.204,0.17,0.17,0.17,0.204,0.204,0.204,0.204,0.204,0.204,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.265,0.17,0.265,0.17,0.265,0.265,0.204,0.265,0.17,0.204,0.204,0.265,0.17,0.17,0.265,0.265,0.17,0.204,0.048,0.265,0.265,0.265,0.17,0.17,0.17,0.17,,0.17,0.17,0.204,0.204,0.265,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.265,0.17,0.17
Og90,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.005,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,,0.016,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.01,0.014,0.002,0.024,0.028,0.028,0.014,0.014,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
Og92,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.016,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,0.016,,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.016,0.016,0.016,0.024,0.028,0.028,0.016,0.016,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
Og122,0.204,0.204,0.204,0.204,0.204,0.204,0.186,0.204,0.204,0.204,0.025,0.046,0.046,0.046,0.046,0.046,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.265,0.204,0.265,0.265,0.052,0.265,0.204,0.046,0.046,0.265,0.204,0.204,0.265,0.265,0.204,0.083,0.204,0.265,0.265,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,,0.186,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.204
OGI19-L,0.204,0.204,0.204,0.204,0.204,0.204,0.046,0.204,0.204,0.204,0.186,0.186,0.186,0.186,0.186,0.186,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.265,0.204,0.265,0.265,0.186,0.265,0.204,0.186,0.186,0.265,0.204,0.204,0.265,0.265,0.204,0.186,0.204,0.265,0.265,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.186,,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.204
OGI33-L,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0,0.265,0.02,0.15,0.265,0,0.265,0.265,0.265,0.15,0.265,0.265,0,0,0.265,0.265,0.265,0,0.15,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
PAg1,0.029,0.029,0.166,0.029,0.029,0.029,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.029,0.029,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,,0,0.02,0.014,0.025,0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.265,0.122,0.122
PAg1_gfp,0.029,0.029,0.166,0.029,0.029,0.029,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.029,0.029,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0,,0.02,0.014,0.025,0,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.265,0.122,0.122
PAg2,0.029,0.029,0.166,0.029,0.029,0.029,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.029,0.029,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.02,0.02,,0.02,0.025,0.02,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.265,0.122,0.122
PAg3,0.029,0.029,0.166,0.029,0.029,0.029,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.029,0.029,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.014,0.014,0.02,,0.025,0.014,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.265,0.122,0.122
PAl,0.029,0.029,0.166,0.029,0.029,0.029,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.029,0.029,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.025,0.025,0.025,0.025,,0.025,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.265,0.122,0.122
PAn,0.029,0.029,0.166,0.029,0.029,0.029,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.029,0.029,0.029,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.029,0.029,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0,0,0.02,0.014,0.025,,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.029,0.029,0.029,0.029,0.037,0.037,0.037,0.265,0.122,0.122
PAr,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.01,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,0.01,0.016,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,,0.014,0.01,0.024,0.028,0.028,0.014,0.014,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
ParPR2,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.014,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,0.014,0.016,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.014,,0.014,0.024,0.028,0.028,0.008,0.004,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
PH,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.005,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,0.002,0.016,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.01,0.014,,0.024,0.028,0.028,0.014,0.014,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
PK,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.024,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.012,0.144,0.17,0.024,0.024,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.024,0.024,0.024,,0.028,0.028,0.024,0.024,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.012
PP,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.009,0.009,0.265,0.003,0.265,0.009,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,0.003,0.056,0.265,0.265,0.026,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,,0.003,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.007,0.028
PP_gfp,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.009,0.009,0.265,0.001,0.265,0.009,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,0.001,0.056,0.265,0.265,0.026,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,0.003,,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.007,0.028
PR1,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.014,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,0.014,0.016,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.014,0.008,0.014,0.024,0.028,0.028,,0.008,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
PR2,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.265,0.028,0.265,0.028,0.265,0.265,0.204,0.265,0.014,0.204,0.204,0.265,0.028,0.056,0.265,0.265,0.028,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.024,0.144,0.17,0.014,0.016,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.014,0.004,0.014,0.024,0.028,0.028,0.008,,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.028,0.024
RP1,0.017,0.017,0.166,0.017,0.017,0.017,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.017,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,,0.005,0.005,0.005,0.037,0.037,0.037,0.265,0.122,0.122
RP1_gfp,0.017,0.017,0.166,0.017,0.017,0.017,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.017,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.005,,0.003,0.003,0.037,0.037,0.037,0.265,0.122,0.122
RP2,0.017,0.017,0.166,0.017,0.017,0.017,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.017,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.005,0.003,,0.001,0.037,0.037,0.037,0.265,0.122,0.122
RP3,0.017,0.017,0.166,0.017,0.017,0.017,0.204,0.041,0.041,0.041,0.204,0.204,0.204,0.204,0.204,0.204,0.028,0.028,0.028,0.044,0.044,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.017,0.022,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.029,0.029,0.029,0.029,0.029,0.029,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.005,0.003,0.001,,0.037,0.037,0.037,0.265,0.122,0.122
