Sample,BI,BI_gfp,CB,CB2,CF,CF_gfp,Cm,EA,EA2,EA_gfp,EC1,EC9,EC10,EC11,EC12,EC14,EC16,EC17,EC18,EColi,EColi_gfp,Gh9,Gh11,Gh12,Gh16,Gh22,Gh24,Gh27,Gh28,Gh29,Gh30,Gh35,Gh36,Gh38,Gh40,Gh43,Gh44,Gh50,Gh54,Gh59,Gh60,Gh61,Gh62,Gh67,Gh68,KA,LA,Og84,Og85,Og87,Og90,Og92,Og122,OGI19-L,OGI33-L,PAg1,PAg1_gfp,PAg2,PAg3,PAl,PAn,PAr,ParPR2,PH,PK,PP,PP_gfp,PR1,PR2,RP1,RP1_gfp,RP2,RP3,SF1,SF2,SF3,Ut12,Ut14,Ut22
EColi_gfp,0.044,0.044,0.166,0.044,0.044,0.044,0.204,0.044,0.044,0.044,0.204,0.204,0.204,0.204,0.204,0.204,0.044,0.044,0.044,0,,0.122,0.122,0.265,0.122,0.265,0.122,0.265,0.265,0.204,0.265,0.122,0.204,0.204,0.265,0.122,0.122,0.265,0.265,0.122,0.204,0.17,0.265,0.265,0.265,0.044,0.044,0.122,0.144,0.17,0.122,0.122,0.204,0.204,0.265,0.044,0.044,0.044,0.044,0.044,0.044,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.265,0.122,0.122
Gh9,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,,0,0.265,0.009,0.265,0,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,0.009,0.056,0.265,0.265,0.026,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,0.009,0.009,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.009,0.028
Gh11,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0,,0.265,0.009,0.265,0,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,0.009,0.056,0.265,0.265,0.026,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,0.009,0.009,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.009,0.028
Gh12,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,,0.265,0,0.265,0.02,0.15,0.265,0,0.265,0.265,0.265,0.15,0.265,0.265,0,0,0.265,0.265,0.265,0,0.15,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
Gh16,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0.009,0.009,0.265,,0.265,0.009,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,0,0.056,0.265,0.265,0.026,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,0.003,0.001,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.007,0.028
Gh22,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,,0.265,0.02,0.15,0.265,0,0.265,0.265,0.265,0.15,0.265,0.265,0,0,0.265,0.265,0.265,0,0.15,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265
Gh24,0.122,0.122,0.166,0.122,0.122,0.122,0.204,0.122,0.122,0.122,0.204,0.204,0.204,0.204,0.204,0.204,0.122,0.122,0.122,0.122,0.122,0,0,0.265,0.009,0.265,,0.265,0.265,0.204,0.265,0.028,0.204,0.204,0.265,0.009,0.056,0.265,0.265,0.026,0.204,0.17,0.265,0.265,0.265,0.122,0.122,0.028,0.144,0.17,0.028,0.028,0.204,0.204,0.265,0.122,0.122,0.122,0.122,0.122,0.122,0.028,0.028,0.028,0.028,0.009,0.009,0.028,0.028,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.265,0.009,0.028
Gh27,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.02,0.265,,0.15,0.265,0.02,0.265,0.265,0.265,0.15,0.265,0.265,0.02,0.02,0.265,0.265,0.265,0.02,0.15,0.02,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.02,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.009,0.265,0.265
Gh28,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.15,0.265,0.15,,0.265,0.15,0.265,0.265,0.265,0,0.265,0.265,0.15,0.15,0.265,0.265,0.265,0.15,0,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.15,0.265,0.265
Gh29,0.204,0.204,0.204,0.204,0.204,0.204,0.186,0.204,0.204,0.204,0.052,0.052,0.052,0.052,0.052,0.052,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.265,0.204,0.265,0.265,,0.265,0.204,0.052,0.052,0.265,0.204,0.204,0.265,0.265,0.204,0.083,0.204,0.265,0.265,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.052,0.186,0.265,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.204,0.265,0.204,0.204
