,sample1,sample2,sample3,t1,combined_effect,Count,STE,mono_s1_effect,mono_s1_Count,mono_s1_STE,mono_s1_qual_e,mono_s2_effect,mono_s2_Count,mono_s2_STE,mono_s2_qual_e,mono_s3_effect,mono_s3_Count,mono_s3_STE,mono_s3_qual_e,additive_single,mean_single,strongest_single
0,B_albus,B_albus,B_albus,4641.467,-0.1618813523721894,11,8.541797266537115,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.4856440571165682,-0.1618813523721894,-0.1618813523721894
1,B_albus,B_albus,B_cereus,5667.367,0.037812803552787114,7,8.128630527927125,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,0.05961666735105992,8,8.120413375004107,+,-0.2641460373933189,-0.0880486791311063,-0.1618813523721894
2,B_albus,B_albus,C_lactis1,5547.3085,0.01640102274048615,6,8.44408498649258,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.21021618231840805,9,8.499755765572408,-,-0.5339788870627868,-0.1779929623542623,-0.21021618231840805
3,B_albus,B_albus,C_lactis3,6468.399,0.17001679568968656,17,8.552708720036845,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.036980635535184554,17,8.554871000854208,-,-0.36074334027956334,-0.12024778009318778,-0.1618813523721894
4,B_albus,B_albus,C_lactis4,6686.1785,0.20313065278434295,4,8.326613493799478,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.394172328955719,12,8.470864060245198,-,-0.7179350337000978,-0.2393116779000326,-0.394172328955719
5,B_albus,B_albus,C_lactis5,4618.7495,-0.16678783497424554,12,8.313104414409027,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.1834775701994633,14,8.512985059272351,-,-0.507240274943842,-0.16908009164794735,-0.1834775701994633
6,B_albus,B_albus,C_lactis6,1236.717,-1.4844515445026125,11,7.888245974689807,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-1.7948411391589547,13,8.215654457813907,-,-2.1186038439033337,-0.7062012813011113,-1.7948411391589547
7,B_albus,B_albus,C_lactis7,4848.796,-0.11818140572599714,3,8.329136824232652,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.45730618598117273,3,8.596470373459692,-,-0.7810688907255515,-0.2603562969085172,-0.45730618598117273
8,B_albus,B_albus,C_lathyri2,7040.882,0.2548216139792472,7,8.502907384598405,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,0.46474912309751293,8,8.260157984354773,+,0.14098641835313414,0.046995472784378045,0.46474912309751293
9,B_albus,B_albus,E_americana1,169.518,-3.47170799554384,13,8.308700311855642,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-3.193224205193991,10,8.463684123802315,-,-3.5169869099383697,-1.1723289699794566,-3.193224205193991
10,B_albus,B_albus,E_cloacae2,479.117,-2.432722284959129,11,8.445992346121146,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-2.551479722227219,6,8.49790667047031,-,-2.8752424269715977,-0.9584141423238659,-2.551479722227219
11,B_albus,B_albus,E_coli1,2197.2470000000003,-0.9097066193155735,12,8.44466198440922,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-1.0948363517386674,6,8.449533380694483,-,-1.4185990564830462,-0.4728663521610154,-1.0948363517386674
12,B_albus,B_albus,F_banpakuense1,2601.4579999999996,-0.7408397753483208,6,8.381571307910672,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.07491037290930991,11,8.49655941548746,-,-0.3986730776536887,-0.1328910258845629,-0.1618813523721894
13,B_albus,B_albus,F_banpakuense2,2693.0885,-0.7062231561666393,14,8.462278777931324,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.24357209496557417,15,8.499877274286634,-,-0.5673347997099529,-0.18911159990331763,-0.24357209496557417
14,B_albus,B_albus,F_ginsengiterrae,2652.5074999999997,-0.7214064134110066,16,8.113181878390641,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.5381788920585315,12,8.028845047871703,-,-0.8619415968029103,-0.2873138656009701,-0.5381788920585315
15,B_albus,B_albus,L_macroides,3372.63,-0.48121897700545696,5,7.593070552407623,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,0.012626586030604878,10,8.346078895361748,+,-0.3111361187137739,-0.10371203957125796,-0.1618813523721894
16,B_albus,B_albus,M_kyungheense,3155.409,-0.5477937093437878,19,8.552023028768087,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,-0.563369432350511,9,8.403630741242848,-,-0.8871321370948897,-0.2957107123649632,-0.563369432350511
17,B_albus,B_albus,Mono1,4103.5425,-0.2850612073879144,14,8.474540223259263,-0.1618813523721894,11,8.541797266537115,-,-0.1618813523721894,11,8.541797266537115,-,0.0,8,8.501798696539138,-,-0.3237627047443788,-0.1079209015814596,-0.1618813523721894
