,index,Count,STE,additive,combined_effect,focal,good_to_use,i1_f_abxr_distance,i1_f_mtb_distance,i1_f_phg_distance,i1_max_od,i1_time_to_thresh,i2_f_abxr_distance,i2_f_mtb_distance,i2_f_phg_distance,i2_max_od,i2_time_to_thresh,iso1t_abxr_distance,iso1t_mtb_distance,iso1t_phg_distance,iso2t_abxr_distance,iso2t_mtb_distance,iso2t_phg_distance,isos_abxr_distance,isos_mtb_distance,isos_phg_distance,mean,mono_s1_effect,mono_s1_qual_e,mono_s2_effect,mono_s2_qual_e,sample1,sample2,strongest,comm_size,qual_monos,qual_effect,modified_strongest
15,152,80,0.0799348929476564,-0.6260107323172264,-0.3130053661586132,EC,y,,2.0525786221238884,0.265,0.011,,,2.0525786221238884,0.265,0.011,,,,,,,,,0.0,0.0,-0.3130053661586132,-0.3130053661586132,-,-0.3130053661586132,-,C_lactis2,C_lactis2,-0.3130053661586132,single,"-,-",Negative,-0.3130053661586132
16,170,90,0.0476455030154268,-8.51098446788489,-4.255492233942445,EC,y,2.03690230497194,2.403803652547354,0.122,1.3,0.04878048780487805,2.03690230497194,2.403803652547354,0.122,1.3,0.04878048780487805,,,,,,,0.0,0.0,0.0,-4.255492233942445,-4.255492233942445,-,-4.255492233942445,-,P_putida2,P_putida2,-4.255492233942445,single,"-,-",Negative,-4.255492233942445
17,189,106,0.0537107735298218,0.1582061603176561,0.079103080158828,EC,y,,2.0882878154124254,0.265,0.08449999999999999,,,2.0882878154124254,0.265,0.08449999999999999,,,,,,,,,0.0,0.0,0.079103080158828,0.079103080158828,+,0.079103080158828,+,F_banpakuense1,F_banpakuense1,0.079103080158828,single,"+,+",Positive,0.079103080158828
18,209,34,0.0306793626066408,-0.3581388631972314,-0.1790694315986157,EC,y,,2.323564503085722,0.204,0.013000000000000001,,,2.323564503085722,0.204,0.013000000000000001,,,,,,,,,0.0,0.0,-0.1790694315986157,-0.1790694315986157,-,-0.1790694315986157,-,L_macroides,L_macroides,-0.1790694315986157,single,"-,-",Negative,-0.1790694315986157
19,230,129,0.0392642284092906,0.0838898164919713,0.0419449082459856,EC,y,1.5902754478391474,2.217149972374445,0.265,1.1,0.03305785123966942,1.5902754478391474,2.217149972374445,0.265,1.1,0.03305785123966942,,,,,,,0.0,0.0,0.0,0.0419449082459856,0.0419449082459856,+,0.0419449082459856,+,C_lactis3,C_lactis3,0.0419449082459856,single,"+,+",Positive,0.0419449082459856
20,252,118,0.0764498824837454,-5.795148824948898,-2.897574412474449,EC,y,1.5210332014785213,2.072097005451241,0.122,1.206,0.05263157894736842,1.5210332014785213,2.072097005451241,0.122,1.206,0.05263157894736842,,,,,,,0.0,0.0,0.0,-2.897574412474449,-2.897574412474449,-,-2.897574412474449,-,P_corrugata,P_corrugata,-2.897574412474449,single,"-,-",Negative,-2.897574412474449
21,275,52,0.0470213411865444,0.3820942663538459,0.1910471331769229,EC,y,2.6209168243193064,2.4293820201853804,0.204,0.129,0.02702702702702703,2.6209168243193064,2.4293820201853804,0.204,0.129,0.02702702702702703,,,,,,,0.0,0.0,0.0,0.1910471331769229,0.1910471331769229,+,0.1910471331769229,+,B_cereus,B_cereus,0.1910471331769229,single,"+,+",Positive,0.1910471331769229
22,299,68,0.0589010791985404,-0.1894462677898626,-0.0947231338949313,EC,y,1.0408948073652784,1.4998933295404708,0.265,1.3035,0.08163265306122448,1.0408948073652784,1.4998933295404708,0.265,1.3035,0.08163265306122448,,,,,,,0.0,0.0,0.0,-0.0947231338949313,-0.0947231338949313,-,-0.0947231338949313,-,F_banpakuense2,F_banpakuense2,-0.0947231338949313,single,"-,-",Negative,-0.0947231338949313
23,324,201,0.0529261064726749,-7.343822300983188,-3.671911150491594,EC,y,2.05000999997561,1.808351735697456,0.122,1.455,0.06896551724137931,2.05000999997561,1.808351735697456,0.122,1.455,0.06896551724137931,,,,,,,0.0,0.0,0.0,-3.671911150491594,-3.671911150491594,-,-3.671911150491594,-,P_monteilii2,P_monteilii2,-3.671911150491594,single,"-,-",Negative,-3.671911150491594
24,350,77,0.176210936612708,-6.181278514787956,-3.090639257393978,EC,y,1.5099033081624795,1.3927566190831762,0.122,1.1575000000000002,0.05333333333333334,1.5099033081624795,1.3927566190831762,0.122,1.1575000000000002,0.05333333333333334,,,,,,,0.0,0.0,0.0,-3.090639257393978,-3.090639257393978,-,-3.090639257393978,-,P_citronellolis,P_citronellolis,-3.090639257393978,single,"-,-",Negative,-3.090639257393978
