Hash,sample1,sample2,sample3,t0,t1,t2,t0_Area,t1_Area,t2_Area,Total
-1891439945,P_koreensis1,P_monteilii1,P_mosselii,748.3692098,872.4883721,1156.949367,734,258,158,3
-1859983622,C_lactis6,P_simiae,S_rhizophila,728.3801917,1034.043189,,939,602,,3
-1871634112,M_kyungheense,P_koreensis1,P_putida1,719.8331516,,863.498801,917,,417,3
-1873964210,B_albus,B_albus,P_koreensis2,729.8541001,863.4017563,1007.716636,939,911,547,3
-1814546711,E_cloacae2,P_monteilii1,S_rhizophila,693.0156087,1012.413828,822.0493601,961,998,547,3
-1816876809,C_lactis1,P_monteilii1,S_rhizophila,717.629,1377.437888,891.8717579,1000,966,694,3
-1843672936,E_cloacae2,Gh38,P_putida1,676.8678161,7448.95122,859.8653846,870,738,416,3
-1847168083,C_lactis5,EA,P_koreensis1,685.9423286,874.3132948,905.460501,919,865,519,3
-1846003034,F_ginsengiterrae,P_koreensis2,P_monteilii2,689.705228,3219.698178,886.787594,899,878,532,3
-1849498181,B_albus,C_lactis4,F_banpakuense2,702.0452632,985.4886975,2005.9296,950,929,625,3
-1786585535,C_lactis7,Mono1,P_putida1,708.7920094,,816.5896104,851,,385,3
-1785420486,C_lactis3,EA,RP1,671.4833154,973.4561626,1165.875862,929,787,580,3
-1787750584,C_lactis3,C_lactis3,EA,672.407669,869.6681128,1017.580392,991,922,765,3
-1780760290,C_lactis1,F_ginsengiterrae,P_monteilii1,739.6852332,1037.960736,821.3466003,772,815,603,3
-1804061270,B_albus,C_lactis1,P_monteilii2,672.8932528,839.7074414,788.2395693,993,981,743,3
-1795905927,E_cloacae2,F_ginsengiterrae,RP1,666.6471838,953.7524155,1410.25283,941,828,530,3
-1794740878,C_lactis7,EA,F_banpakuense2,695.0654008,884.6402794,917.8229665,948,859,627,3
-1798236025,Gh38,P_koreensis1,P_koreensis2,659.8443051,,919.7126806,957,,623,3
-1800566123,E_cloacae2,Gh38,P_koreensis2,655.5265349,770.5864106,861.2245827,961,677,659,3
-1802896221,C_lactis3,L_macroides,P_corrugata,624.2180233,,907.353598,1032,,806,3
-455432419,B_albus,E_cloacae2,RP1,742.4848967,874.3545455,,629,110,,3
-456597468,C_lactis3,L_macroides,P_koreensis1,675.6682692,1022.802581,845.0586146,832,775,563,3
-440286782,C_lactis1,C_lactis7,P_monteilii2,705.8778626,,840.1587302,786,,567,3
-441451831,Blank1,Gh38,RP1,728.3765112,,1257.545087,579,,743,3
-444946978,F_banpakuense2,Gh38,P_monteilii2,705.9129032,820.333782,845.9559413,620,743,749,3
-471743105,M_kyungheense,P_monteilii1,P_simiae,731.7229039,,900.4,978,,545,3
-472908154,P_putida1,P_simiae,RP1,721.1024033,942.8981818,848.1397638,957,825,508,3
-474073203,C_lactis1,C_lactis6,P_putida1,732.0876217,,944.4901961,719,,612,3
-458927566,C_lactis3,C_lactis6,P_putida1,715.5120968,1046.615385,823.552737,992,871,749,3
-460092615,Blank1,C_lactis3,F_banpakuense1,734.3130435,905.7160243,2757.576471,690,986,765,3
-465917860,EA,F_banpakuense2,P_putida1,749.8349515,,1158.896266,927,,241,3
-467082909,C_lactis1,F_ginsengiterrae,P_monteilii2,740.6451613,961.2262181,892.5840336,1054,862,238,3
-489218840,Mono1,P_corrugata,P_koreensis1,748.5394872,,1085.858407,975,,678,3
-490383889,C_lactis7,EA,P_putida3,747.9876923,1537.795806,922.8605578,975,906,753,3
-491548938,B_albus,Gh38,RP1,747.0594679,,844.1171617,1278,,606,3
-492713987,BI,C_lactis5,C_lactis7,772.7817884,3990.319126,767.7370629,1219,915,715,3
-493879036,F_banpakuense1,F_banpakuense2,P_koreensis1,794.060166,,991.1547464,964,,769,3
-495044085,F_banpakuense2,P_simiae,S_rhizophila,727.0808081,879.9003322,991.4254658,990,602,322,3
-483393595,P_monteilii2,P_monteilii2,P_simiae,787.0525232,,895.7925636,971,,511,3
-505529526,F_ginsengiterrae,P_monteilii2,P_monteilii2,752.2405858,821.9326923,957.6018735,956,728,854,3
-507859624,C_lactis3,C_lactis6,C_lactis6,800.9263804,1206.953893,1336.883578,978,976,816,3
-509024673,C_lactis3,F_banpakuense2,P_corrugata,746.6954674,,1062.638701,706,,739,3
-510189722,L_macroides,M_kyungheense,P_putida3,714.4399185,1284.651923,842.1590909,982,520,264,3
-496209134,F_ginsengiterrae,Gh38,P_putida1,766.1544799,,992.042735,971,,468,3
-498539232,EColi,P_monteilii2,P_monteilii2,780.5168539,965.0954545,941.0454545,979,880,726,3
-499704281,C_lactis7,EColi,RP1,797.6780259,,1526.249129,851,,574,3
-500869330,B_albus,P_putida1,RP1,789.6608595,1135.910936,815.4287902,861,887,653,3
-524170310,C_lactis7,P_monteilii1,P_putida1,776.0629515,1126.405204,923.8317152,969,538,309,3
-532325653,F_ginsengiterrae,P_koreensis1,P_monteilii1,793.0681597,,901.0236486,1027,,592,3
-517180016,Blank1,F_banpakuense1,P_mosselii,847.046729,1383.173077,984.2243502,963,780,731,3
-518345065,F_banpakuense1,P_koreensis2,P_monteilii2,861.2462312,,930.943299,995,,776,3
-519510114,BI,C_lactis6,P_monteilii1,773.6764479,,860.8757576,1295,,660,3
-547471290,C_lactis1,P_corrugata,P_monteilii1,852.5920916,,1048.836918,961,,558,3
-548636339,B_albus,C_lactis7,P_putida1,843.605042,1176.425703,967.5937962,952,747,677,3
-549801388,Gh38,P_koreensis1,P_putida1,805.5670103,,962.8390462,970,,671,3
