Hash,sample1,sample2,sample3,t0,t1,t2,t0_Area,t1_Area,t2_Area,Total
-1922896268,F_banpakuense1,F_banpakuense2,F_ginsengiterrae,724.8119369,3512.572464,947.4906832,888,828,161,3
-1913575876,B_albus,Blank1,Gh38,690.0276407,3599.217391,,1013,920,,3
-1873964210,C_lactis4,F_banpakuense1,Mono1,694.2006173,3474.958716,1508.619883,972,872,171,3
-1814546711,F_banpakuense1,M_kyungheense,P_koreensis2,683.7374477,1054.783257,9649.594118,956,872,170,3
-1844837985,Blank1,Blank1,Blank1,612.6224066,9618.532044,,964,827,,3
-1781925339,C_lactis3,EA,RP1,669.7816594,1052.916335,,916,753,,3
-1784255437,C_lactis4,P_simiae,S_rhizophila,680.5026853,968.5638298,784.6901408,931,846,426,3
-1783090388,BI,C_lactis1,C_lactis5,661.9815574,836.3099885,795.6945289,976,871,658,3
-1805226319,BI,Blank1,P_koreensis2,621.4408818,707.1838955,829.2820856,998,919,748,3
-1800566123,F_ginsengiterrae,Gh38,P_putida2,684.1789137,1690.082474,851.9671593,626,194,1218,3
-2040566217,F_ginsengiterrae,P_koreensis2,P_mosselii,696.0509014,,775.9306723,943,,952,3
-455432419,C_lactis5,C_lactis6,F_ginsengiterrae,741.1807095,3369.661145,,902,664,,3
-441451831,C_lactis3,F_ginsengiterrae,P_mosselii,736.665625,,2200.167572,640,,1104,3
-471743105,Gh38,P_putida1,P_putida3,723.0902896,932.2484395,883.6588235,587,801,170,3
-474073203,C_lactis1,F_banpakuense1,F_ginsengiterrae,724.1489595,4900.762022,767.1733333,913,811,675,3
-458927566,C_lactis4,C_lactis6,P_corrugata,699.2642948,1248.876791,1738.730508,787,698,1180,3
-460092615,M_kyungheense,P_monteilii2,S_rhizophila,695.6765016,888.173913,1109.055944,949,851,572,3
-461257664,EColi,E_cloacae2,S_rhizophila,709.3463415,1162.906287,809.3311346,820,843,758,3
-492713987,EColi,P_koreensis2,P_putida2,762.305794,955.8667453,6635.859524,932,848,420,3
-493879036,BI,C_lathyri2,P_mosselii,696.4902857,789.9351145,788.141161,875,786,758,3
-495044085,C_lactis4,F_ginsengiterrae,M_kyungheense,728.0536993,3052.461982,765.0576071,838,868,677,3
-505529526,Blank1,C_lactis6,RP1,697.5623632,1321.574029,1993.614308,914,824,643,3
-507859624,C_lactis1,C_lactis3,C_lactis5,715.8831726,4714.680328,820.3796992,933,854,798,3
-509024673,C_lactis3,EColi,M_kyungheense,727.8245614,2483.474946,,969,918,,3
-498539232,E_cloacae2,P_koreensis1,P_mosselii,805.0814815,981.5432243,1119.015625,945,856,384,3
-499704281,EColi,P_koreensis1,P_simiae,760.0820144,1066.553552,,695,943,,3
-500869330,Blank1,S_rhizophila,S_rhizophila,709.1377871,1008.742152,868.384434,958,892,848,3
-502034379,Blank1,C_lactis3,M_kyungheense,689.8543788,1119.907508,794.6777778,982,919,810,3
-503199428,C_lactis6,EColi,Gh38,687.3193033,1189.753045,842.2650177,689,903,849,3
-519510114,EColi,F_banpakuense1,F_ginsengiterrae,743.5725191,2997.175294,1017.015595,917,850,513,3
-520675163,C_lactis4,EColi,P_monteilii2,725.8961039,975.9446023,1887.348344,770,704,755,3
-548636339,C_lactis3,E_cloacae2,P_putida2,816.4724919,920.2828402,940.1759259,927,845,216,3
-549801388,EA,P_koreensis2,P_putida2,829.6765755,971.8928105,864.4748092,841,765,655,3
-534655751,F_banpakuense1,L_macroides,P_putida2,728.6681081,948.1947608,1028.715232,925,878,604,3
-535820800,C_lactis3,F_banpakuense2,P_simiae,719.4912461,933.5670213,809.272271,971,940,797,3
-563781976,Blank1,F_banpakuense2,P_putida2,799.4752475,1001.888228,2750.615854,909,841,164,3
-566112074,M_kyungheense,M_kyungheense,P_mosselii,841.2963351,1094.24225,3073.64839,955,871,1149,3
-568442172,C_lactis5,C_lathyri2,C_lathyri2,731.2957895,11672.99315,2818.281211,950,876,793,3
-569607221,Gh38,P_koreensis2,P_simiae,752.1309013,1432.890519,4816.547408,932,886,791,3
-581257711,P_koreensis1,P_monteilii2,RP1,780.4633369,864.4153471,923.0806599,941,821,1091,3
-582422760,BI,BI,C_lactis3,730.7548241,895.1982544,,881,802,,3
-583587809,F_banpakuense2,L_macroides,P_monteilii1,715.691745,890.4125413,878.2268786,957,909,692,3
-584752858,Blank1,P_mosselii,RP1,685.9920949,1130.883871,797.8333333,1265,1240,834,3
-573102368,C_lactis3,C_lathyri2,P_corrugata,734.9860963,1354.381078,1096.513514,935,761,111,3
-576597515,C_lactis4,C_lactis6,Gh38,750.3922378,3756.107573,789.7589286,1211,1162,672,3
-577762564,E_cloacae2,Gh38,P_koreensis1,752.3039216,1006.736897,2401.334829,1020,954,1114,3
-578927613,BI,Gh38,Mono1,777.6253902,1021.231626,974.1724138,961,898,870,3
-599898495,P_koreensis2,P_putida1,RP1,746.735,781.2483221,781.0048721,1000,894,821,3
-601063544,EColi,M_kyungheense,P_koreensis2,682.6402214,1085.933702,777.6654719,1084,1086,837,3
-606888789,C_lactis6,F_ginsengiterrae,Mono1,771.9636163,1617.197201,,907,786,,3
-590578103,BI,Blank1,F_banpakuense1,714.2311161,832.289801,860.9318996,887,804,558,3
-591743152,C_lactis6,Gh38,P_monteilii1,702.3944563,833.974359,821.547546,938,858,652,3
-592908201,C_lactis1,Gh38,P_monteilii1,730.1440678,878.5414747,781.7618403,944,868,739,3
-594073250,C_lactis5,P_koreensis1,P_putida3,734.5535714,815.4163743,793.1721419,952,855,761,3
-595238299,C_lactis1,EA,EColi,699.315565,883.8586957,745.4333333,938,920,750,3
-596403348,B_albus,P_koreensis1,P_putida3,703.3833333,840.4426966,885.5624257,960,890,841,3
-597568397,B_albus,F_banpakuense1,Mono1,703.3718447,4050.562228,754.1782662,1030,1149,819,3
-624364524,BI,F_banpakuense2,P_corrugata,732.5610413,828.0808081,4612.270463,1114,1089,281,3
-625529573,EColi,F_banpakuense1,F_ginsengiterrae,711.7659805,2102.72738,754.8884501,923,851,1013,3
-608053838,C_lactis6,P_putida3,RP1,707.0590319,799.7917261,1609.51552,847,701,741,3
-609218887,C_lathyri2,F_ginsengiterrae,P_monteilii1,704.8608787,841.6476744,797.0904523,956,860,597,3
-610383936,M_kyungheense,P_corrugata,P_koreensis1,715.8721414,1526.69353,760.0168612,962,881,771,3
-611548985,BI,L_macroides,Mono1,730.6128364,831.7949836,1355.9875,966,917,800,3
-612714034,BI,C_lactis1,E_cloacae2,713.7457818,1161.260816,806.6183295,889,809,862,3
-638345112,C_lactis1,Mono1,S_rhizophila,749.1445271,5531.033097,966.5795455,941,846,176,3
-639510161,BI,B_albus,EA,734.7566988,836.4270033,2654.410853,933,911,645,3
-640675210,EColi,EColi,P_koreensis1,703.9542066,936.6572077,826.689295,939,881,766,3
-641840259,F_banpakuense2,F_ginsengiterrae,P_putida2,717.4360087,894.3679354,,922,867,,3
-643005308,C_lactis3,E_cloacae2,Mono1,757.6198083,1408.404872,810.1373556,939,862,779,3
-644170357,C_lactis6,L_macroides,P_koreensis1,716.6307692,1039.432314,1348.920513,975,916,780,3
-626694622,C_lactis5,EA,EColi,695.7544784,857.803014,822.2616487,949,929,837,3
-627859671,F_banpakuense2,Mono1,P_koreensis1,697.5981941,1067.369989,844.3237327,886,873,868,3
-634849965,B_albus,C_lactis1,C_lactis4,708.9310722,5521.558788,6549.567073,914,825,164,3
-654655798,F_banpakuense1,Gh38,L_macroides,722.7542735,3484.039906,2934.541411,936,852,652,3
-655820847,BI,C_lactis6,P_simiae,720.6467066,868.7713535,1643.016713,835,761,718,3
-656985896,C_lactis1,P_monteilii1,RP1,692.0385027,767.6614078,773.19375,935,824,640,3
-658150945,Blank1,C_lactis4,L_macroides,672.4170259,4326.747986,756.1045392,928,869,727,3
-660481043,Blank1,EColi,Gh38,659.3170234,2284.064935,4055.111667,981,924,600,3
-661646092,C_lactis1,EColi,Gh38,715.2870264,2533.028269,1646.660161,871,849,871,3
