Hash,sample1,sample2,sample3,t0,t1,t2,t0_Area,t1_Area,t2_Area,Total
1432225415,C_lactis6,P_putida1,P_putida1,761.8105727,1126.176702,928.7679045,681,764,754,3
1426400170,B_albus,P_corrugata,RP1,754.0459588,1521.413543,1912.117419,631,827,775,3
1425235121,C_lactis7,P_putida2,RP1,763.4060032,1075.411613,1050.098257,633,775,631,3
1424070072,C_lactis3,P_putida1,P_simiae,754.8003749,1673.497722,1337.122424,1067,878,825,3
1421739974,B_albus,P_corrugata,P_monteilii1,741.9340344,938.6282051,842.1519481,1046,858,770,3
1420574925,C_lactis5,F_ginsengiterrae,RP1,742.0157398,1629.979567,1694.976563,953,832,768,3
1419409876,C_lactis5,P_putida1,P_simiae,747.816717,1342.311971,1204.462647,993,827,763,3
1418244827,C_lactis5,C_lactis5,P_putida2,733.3084112,1113.133877,1030.3,963,859,800,3
1453196297,F_ginsengiterrae,Gh38,P_putida1,749.4873096,1128.377143,960.6490964,788,700,664,3
1452031248,C_lactis4,C_lactis6,P_corrugata,760.5064677,1141.545229,1043.386167,1005,807,694,3
1450866199,Blank1,C_lactis3,C_lactis3,717.0672691,5746.725768,3763.824607,996,846,764,3
1449701150,E_cloacae2,L_macroides,P_corrugata,709.4933712,896.1411451,855.5610143,1056,751,631,3
1448536101,BI,C_lactis6,P_putida2,712.7342296,1126.29186,961.0820313,967,860,768,3
1438050660,B_albus,C_lathyri2,P_mosselii,709.558992,5741.782051,4796.39313,873,312,262,3
1436885611,F_ginsengiterrae,P_putida1,P_putida2,736.4493743,967.3425,854.5695709,879,800,769,3
2068342169,C_lactis3,E_cloacae2,P_putida3,729.7193995,1256.553757,1294.111111,866,865,783,3
2067177120,C_lactis1,F_banpakuense1,P_putida3,745.7441077,924.0280971,824.4065934,594,783,728,3
2066012071,BI,Blank1,P_koreensis2,740.6129542,1050.600679,956.5229244,633,884,807,3
2064847022,P_koreensis2,P_putida3,P_simiae,740.5347534,1038.477866,915.5412054,892,881,813,3
2063681973,C_lactis4,C_lactis6,F_ginsengiterrae,774.3039074,5787.680641,3103.575107,691,811,699,3
2061351875,Mono1,P_corrugata,P_putida3,724.4454277,1186.162356,1002.586995,1017,696,569,3
2059021777,L_macroides,P_putida1,P_simiae,746.1647059,1659.619271,1773.616811,935,851,809,3
