,EC_additive,EC_mean,EC_OD_W_mean,EC_strongest,EC_modified_strongest,EA_additive,EA_mean,EA_OD_W_mean,EA_strongest,EA_modified_strongest,RP1_additive,RP1_mean,RP1_OD_W_mean,RP1_strongest,RP1_modified_strongest,BI_additive,BI_mean,BI_OD_W_mean,BI_strongest,BI_modified_strongest,CF_additive,CF_mean,CF_OD_W_mean,CF_strongest,CF_modified_strongest,PAg_additive,PAg_mean,PAg_OD_W_mean,PAg_strongest,PAg_modified_strongest
901,1.2143730546395235,0.7703663280573472,0.5971064181641154,0.36802420335080077,0.36071534636658026,0.7871361964291844,0.7244163101153396,0.7234869245578186,0.7885881074900428,0.8103593205167737,0.4585177736626178,0.3577259544313188,0.2768549035278573,0.15765785755928766,0.15809565492327785,0.37716617423119414,0.3137016819647438,0.28379104878065714,0.32607158245859574,0.2550563486977969,0.4180133778112209,0.34521554210061944,0.33547474004629096,0.294727153716957,0.276257318411462,1.134153751979805,0.7782559173999899,0.7900860043255836,0.930405124426735,0.8660611520384712
902,1.195728737761513,0.7739576999710802,0.5997724610736516,0.37089721911950063,0.3643247409572077,0.7572787124931639,0.6318061180843811,0.6326279162119155,0.727847152714469,0.7602548873966788,0.46398942609257643,0.34843954674463007,0.2674315842438149,0.13276380637900598,0.13041665639670255,0.37394596846057165,0.3195955025614688,0.2898786132068645,0.3232792101938233,0.25006258372235435,0.41431558229215987,0.3438532342306445,0.3373354302754845,0.2975998958309118,0.2693732570985525,1.2705200156054222,0.7555012004447069,0.7732271547700581,0.9260675575835261,0.8235966972547061
903,1.2170914018464742,0.7779090553933292,0.6074693267433918,0.3940813322406121,0.3876622408287828,0.7529778512073014,0.6681830857272443,0.6645946845683532,0.7349203467961444,0.7252783725081688,0.4685789134417015,0.3564259504806965,0.2744737563233209,0.1455953804742466,0.1448545776144744,0.35673898333456444,0.3134137402291474,0.28296059406204405,0.3041885541500812,0.2472881047540246,0.42007918687887524,0.35064069920940005,0.34196298974581857,0.28723851392869465,0.2616845737767655,1.158571330968646,0.609381283429389,0.6316605233779287,0.822167858571828,0.7519878583351706
904,1.193870150486521,0.7552063764526178,0.5789044081669952,0.35740834415416767,0.3474435901154623,0.716993736917215,0.6534804572631132,0.6488285441478545,0.7141739299963555,0.747211365228547,0.47626145790233954,0.35681226862948623,0.2784334926212494,0.15417480712254789,0.15486077691058664,0.3650590351457829,0.31448681893813485,0.2845144405690904,0.29600527343541805,0.2545221649426076,0.4265249400645148,0.3525623426714396,0.3453951265284883,0.30642186013269784,0.27936275903524826,1.198101224865458,0.7453158552014357,0.7685195732619351,0.9118062666432227,0.8587246936346973
905,1.19560890061621,0.7744278639215441,0.596043865567389,0.3551458116055994,0.3465835669717576,0.7055165389839794,0.6304828650474613,0.6326766201120416,0.696531936857233,0.7064461095290834,0.4674700061652768,0.3549254985470137,0.2767850501603686,0.1514655410707826,0.15115094207793706,0.36650759926530824,0.3140447669022881,0.28061024699210524,0.3017959159257802,0.2517236360637451,0.40646917810594113,0.34287346510732847,0.3352753345512405,0.28605594367908843,0.26757396025443125,1.3322882932206452,0.8889377772121021,0.8855738294804926,0.9779543678312248,0.9708549448817575
906,1.1811265595287281,0.7876535404468444,0.6123686684417885,0.39077872351385573,0.38340001862606016,0.7184242069752504,0.633348424258821,0.634964511144299,0.7065093032907473,0.7050636940317405,0.47002206814016356,0.3467746916596184,0.2652613685452792,0.13943485952413515,0.13962932474877274,0.3673684911589578,0.317950383816556,0.28680822448291615,0.29254556185360336,0.2484953102119653,0.42920779827544736,0.35481399332520974,0.34445919519813156,0.29536912320697556,0.280896928638444,1.11145802767957,0.598346137538137,0.6273775820756518,0.7851991245673979,0.6952474207618295
907,1.2133467622920084,0.7719770307320368,0.6071864589792009,0.3765810503042622,0.3718185398550861,0.6991427472198951,0.6463067513565723,0.6430336267525839,0.7028202297485027,0.7528861840871992,0.4761431074856538,0.35877161595266527,0.28076208160647737,0.16671738268403627,0.16734901015917966,0.35639506106191665,0.3084121634601711,0.27776426101929674,0.27842852184170835,0.24704216375222532,0.42246789502069626,0.34539812902442074,0.337821782477687,0.2940800345565041,0.26357103653922154,1.1337965081684276,0.5822113760820907,0.5927841941991063,0.7241259747467542,0.6799952492489276
908,1.1852954415153303,0.7657865939443874,0.5929806302452224,0.3697995756968998,0.35996692241152217,0.7561504410954363,0.6808776175362514,0.6754096931216864,0.7652600580631753,0.804681483675879,0.46474355072643114,0.3506637367900931,0.2677944234341929,0.13334950472375004,0.1327678383044876,0.36260710101929666,0.30071126472225307,0.27653530560136874,0.29061412838469725,0.24703248346450543,0.4339054427978439,0.36629955869116365,0.3557032169377838,0.309144491541965,0.29361157167045254,1.2088584610579551,0.6776552985055577,0.6977579052831522,0.8536041658532895,0.7684333984659228
909,1.1988477341469819,0.7806032206522309,0.6120004177836734,0.3981819880584966,0.3909324970126592,0.8427616877094761,0.7966409594123036,0.7965128483204209,0.8509047292071533,0.8983620758675278,0.4641577315153222,0.343704734085612,0.264388501037376,0.13139817078163984,0.132329006343291,0.3710515501004306,0.3111900427246725,0.280719631744332,0.30172262612876993,0.25842353185036515,0.4337238472001883,0.34855606629982805,0.3447835513577489,0.308234689777358,0.2776011752685458,1.083498078888395,0.5692082401611229,0.5974898307675612,0.7819503132916861,0.6850862718737926
910,1.1510500057164852,0.746186350826062,0.580762320560632,0.329537408882031,0.32540611163313865,0.7112786389652659,0.6296256252646383,0.6269019716052652,0.7155927630887087,0.756122372995284,0.4693241691916718,0.34857506059001353,0.26823130050140315,0.13340753531726698,0.13421795885809226,0.36727980105583036,0.30963757848390683,0.28044267719728017,0.29385774457533126,0.2462368957302597,0.41208098723185893,0.34443981858185957,0.3366547872244323,0.2939724746894446,0.2623963838617168,1.2567539268833736,0.6018851429482183,0.6385479971082144,0.8583844944986772,0.7606932028219158
