,Negative-Negative__additive,Negative-Negative__mean,Negative-Negative__OD_W_mean,Negative-Negative__strongest,Negative-Negative__modified_strongest,Postive-Negative__additive,Postive-Negative__mean,Postive-Negative__OD_W_mean,Postive-Negative__strongest,Postive-Negative__modified_strongest,Postive-Postive__additive,Postive-Postive__mean,Postive-Postive__OD_W_mean,Postive-Postive__strongest,Postive-Postive__modified_strongest
331,0.6519119323411369,0.2578333023783427,0.22936582190487703,0.17184708127021397,0.17184708127021397,0.27875690081316656,0.6328369478041906,0.47911740522405716,0.3464325873664618,0.31352580525240703,0.6348828134574381,0.6494836729601663,0.626748674154884,0.531176812091704,0.531176812091704
332,0.6880408088087626,0.258241735869528,0.2332058280387866,0.18217090807598715,0.18217090807598715,0.23502639554927102,0.5569535761447314,0.42545463390078947,0.2913747393585117,0.26103296586783414,0.6435984408142448,0.632929202044775,0.6139762339463536,0.5340833841204474,0.5340833841204474
333,0.6712880478192029,0.25388753171740414,0.2292267433010633,0.17449854918675003,0.17449854918675003,0.27612195109845317,0.6255245942654496,0.4802542380926546,0.33449552134479554,0.3068142514827585,0.6021721127973925,0.6371710463300855,0.6138083885789731,0.5173747040100747,0.5173747040100747
334,0.6379725803062399,0.26661078526386456,0.23080019066862936,0.17426533573753944,0.17426533573753944,0.31142452496065876,0.6519788980082719,0.5064148117072887,0.3710084852238388,0.33291313436531,0.5844153069755673,0.6172833656768071,0.5961326069777714,0.48297906987506534,0.48297906987506534
335,0.6681130987692153,0.2611865751075384,0.2289086414810368,0.1762585875829397,0.1762585875829397,0.27717242754862575,0.5973130081660728,0.45784785614972356,0.3270100201627843,0.2948127705483137,0.6367085919693144,0.6283831363943021,0.6032028089269188,0.5242526577015574,0.5242526577015574
336,0.6592232659362022,0.25688167744336676,0.22782592729675405,0.18103818801386873,0.18103818801386873,0.269520853815233,0.5995180191547039,0.4563691429262962,0.3252376758763113,0.3045297841559314,0.6485966032624361,0.6498808904031813,0.6325878964731382,0.5377327862421304,0.5377327862421304
337,0.650888961708026,0.2399064373530851,0.21814420047568658,0.1652156231068259,0.1652156231068259,0.2721727522552098,0.6144885960744109,0.4738973491472417,0.3317221385369395,0.29424956430473026,0.6168844783245667,0.6094407606300383,0.5938003512792089,0.49575739488264536,0.49575739488264536
338,0.6483825504831281,0.26225044233545186,0.2251187012813222,0.17540309877090401,0.17540309877090401,0.297864638329894,0.6337526922940477,0.4965179957725473,0.35706571403005505,0.32158165668179134,0.5669562422908389,0.604740410561366,0.580692720875922,0.46511978863157105,0.46511978863157105
339,0.6595287325863236,0.2653113885832445,0.23643040398195453,0.18213299220862653,0.18213299220862653,0.26417401059537693,0.5874037497429364,0.4509765639304535,0.3178757227438601,0.2876946480826979,0.6396520249051828,0.646746186638241,0.6253499971419016,0.5283024806179126,0.5283024806179126
340,0.6363231990695533,0.25180197739381044,0.22858474258111033,0.17048459133734392,0.17048459133734392,0.2927411954965848,0.6400222378556106,0.49573568471277846,0.3428715459702938,0.30870783871543034,0.711802337023452,0.6888813358514556,0.6721691035207038,0.5846267807875378,0.5846267807875378
341,0.6643480948558869,0.2619541502335966,0.23157569725261326,0.181277080172537,0.181277080172537,0.31232241395012,0.6289042570680499,0.4855796995492088,0.3736339254678977,0.32474332410927653,0.6215230058708721,0.5898378735745045,0.5695174846456948,0.4689004878842872,0.4689004878842872
342,0.6459944339388217,0.25624322743969746,0.23049435023702355,0.17783875226187681,0.17783875226187681,0.26551959354641075,0.6238314771405801,0.47535735772853605,0.3303437545893148,0.29769824111099596,0.6433415654020126,0.6171761351388069,0.6071786923780361,0.5281936683768036,0.5281936683768036
343,0.6542187277384827,0.2636061087128555,0.23271348722786553,0.18421416434550072,0.18421416434550072,0.27350345822393485,0.5941277839791536,0.4597138506485001,0.3338870003345894,0.29769780099755017,0.6213536748239645,0.609896106044873,0.5904523341195681,0.48263154093618893,0.48263154093618893
344,0.6517975478975907,0.2811597774750035,0.2447440421463114,0.18224806889029604,0.18224806889029604,0.30054280001250133,0.6460267427965039,0.49441848316176856,0.3725914492539702,0.3306218967214128,0.587976837106789,0.6117385619299783,0.584516988614955,0.4862067285717439,0.4862067285717439
345,0.6525731658861353,0.2591314881926443,0.2284040550449033,0.17998460406402342,0.17998460406402342,0.276319657899987,0.6096334030018781,0.4707727889312026,0.33747470123016104,0.3012291258335686,0.5979039344636999,0.6270456561830677,0.6068899691995124,0.5017755714570052,0.5017755714570052
346,0.6860500227078227,0.25643003784898466,0.23096170731994448,0.17725227198130838,0.17725227198130838,0.26202640078092965,0.589687386429616,0.43873732322798925,0.319752758430707,0.27926260470837294,0.6987164317520921,0.657678577468658,0.6467674007533751,0.5867462914756693,0.5867462914756693
347,0.6529876468402949,0.27848299216911887,0.24681467041329208,0.17577839692296354,0.17577839692296354,0.30680623756089975,0.6568609905389119,0.4979236617447766,0.36936383426002894,0.32917459467277915,0.6155749680388813,0.6051957242776533,0.5784615240635858,0.5012812888136914,0.5012812888136914
348,0.6652582071197786,0.2613788158249249,0.2300828701651611,0.17852335760765348,0.17852335760765348,0.2816803749688668,0.6233208705746216,0.4816448855995967,0.34253327540495165,0.3055202303861997,0.5864043278020521,0.6150050444129694,0.5902705992523982,0.4952400054048688,0.4952400054048688
349,0.6800809941067224,0.24913506851183256,0.2258578860140609,0.1700979505838565,0.1700979505838565,0.2628247894499201,0.5815137122639858,0.45099297115481624,0.3088116821782065,0.27934578073287686,0.7419848657260788,0.6967039247168272,0.6832691317800892,0.6239271910605035,0.6239271910605035
350,0.641521296239842,0.2579294861065436,0.22513945069951696,0.17302145359028215,0.17302145359028215,0.28885423139955657,0.6354704441063356,0.48590451006421626,0.3468985971885673,0.30876409792936144,0.6123226053860741,0.6322453158780744,0.6096175839602173,0.4984818481463679,0.4984818481463679
351,0.6543179373759739,0.2569089460820149,0.22472836702860946,0.1734642127315409,0.1734642127315409,0.287563208246982,0.6080522709359274,0.46839083672355647,0.3560997713659328,0.3074832568443802,0.6104411770777004,0.6021826273007804,0.5767162888817229,0.4755851488670493,0.4755851488670493
352,0.6664852665927621,0.2616120008533287,0.23271969247690194,0.1822127885881749,0.1822127885881749,0.28757758456904214,0.624377278468389,0.4801183847295331,0.3545919655700261,0.309940795948241,0.6000709001674975,0.593033362167925,0.576014422438965,0.49063987591075875,0.49063987591075875
