,Negative-Negative__additive,Negative-Negative__mean,Negative-Negative__OD_W_mean,Negative-Negative__strongest,Negative-Negative__modified_strongest,Postive-Negative__additive,Postive-Negative__mean,Postive-Negative__OD_W_mean,Postive-Negative__strongest,Postive-Negative__modified_strongest,Postive-Postive__additive,Postive-Postive__mean,Postive-Postive__OD_W_mean,Postive-Postive__strongest,Postive-Postive__modified_strongest
256,0.6389640373583738,0.2528788912292355,0.21448374866147885,0.16619868719599185,0.16619868719599185,0.14899782515080073,0.4208254181609662,0.29009206089370665,0.17488725002587582,0.17047054645785567,0.7699580407044893,0.7662474881519763,0.7972773818972639,0.6758431749779433,0.6758431749779433
257,0.6569975568734246,0.24836218245477204,0.2050526188729488,0.1567374742844909,0.1567374742844909,0.12873328250004315,0.42583205933407653,0.28408422993419713,0.15407956902707637,0.14961703532867046,0.754394647692706,0.7682092025938191,0.7949011777375461,0.6576234095635693,0.6576234095635693
258,0.6772479566525432,0.26305873853188494,0.22124104399225428,0.1711031477677797,0.1711031477677797,0.1383788969738753,0.4362245792683182,0.29526384259396893,0.16554392335005097,0.15476048307455534,0.7912849981077187,0.7622047870209386,0.8005778658156815,0.6664942933206397,0.6664942933206397
259,0.6473693643279929,0.25929983762452014,0.21104899497027596,0.16072657540611995,0.16072657540611995,0.14343903685862155,0.439582104352468,0.2965166950768519,0.1652106584409776,0.1592629794067389,0.8488049191952268,0.7986508799942901,0.8241470829099917,0.7234003575778756,0.7234003575778756
260,0.6441339206545319,0.24879960596873754,0.20482493677429817,0.1538422220518777,0.1538422220518777,0.14855872800677672,0.4336960091549613,0.2952551038468441,0.17421708685598047,0.16085278611936993,0.807042166371797,0.7036353641319448,0.7461064582696626,0.632848849222696,0.632848849222696
261,0.6399748400796983,0.24792269810137418,0.21545991708124337,0.1689590769392347,0.1689590769392347,0.13784932257212562,0.44751071025798356,0.30575799203658516,0.16902097175755337,0.16387276992688674,0.8430960904009493,0.7662777658533695,0.8090194105171432,0.6873215578291546,0.6873215578291546
262,0.6396811717755736,0.2701800072373323,0.213357556430269,0.1525882977892037,0.1525882977892037,0.1418013013026416,0.4155254242215693,0.28368962620279603,0.16908915897272583,0.1630145877883019,0.703482753015507,0.7126367750729633,0.7492499034470997,0.6203587047499332,0.6203587047499332
263,0.6430709451556548,0.25534082331697294,0.20568785211080198,0.15947852854475045,0.15947852854475045,0.14158598790295368,0.438201098214824,0.30095116784467235,0.16942252858283197,0.16361707986524154,0.6565914323635212,0.6444972109015625,0.6726077727743297,0.5238384070349957,0.5238384070349957
264,0.659347802103852,0.2546245699864755,0.213252773881071,0.16685085488232682,0.16685085488232682,0.14183055221907656,0.42835200762274195,0.2890543775420093,0.16944713938624623,0.15743697560712316,0.7850734578240698,0.7377810584518022,0.7902321065781401,0.6591220398069557,0.6591220398069557
265,0.6397354808257002,0.251045471039713,0.2095619902234239,0.16490665848097055,0.16490665848097055,0.13672964991385408,0.4250305398378692,0.29118926694735364,0.16327560636923116,0.1570485315037142,0.8429092088189217,0.7689914161948904,0.7936115361070831,0.7099634183777123,0.7099634183777123
