,additive,mean,OD_W_mean,strongest,modified_strongest
766,0.47413630840686133,0.3240325545662582,0.2384550755134777,0.15777475806948937,0.15641354333555502
767,0.47317514487600854,0.323043574769969,0.2424863846273416,0.1665949027943624,0.1633578245677385
768,0.45572452352003306,0.31797644437719397,0.23263854340902318,0.1566043512544315,0.15408745737954935
769,0.4609980568802589,0.3215884560135461,0.24140446614494104,0.1630817429558392,0.1609090891762394
770,0.4656162573096725,0.3170264599731287,0.23487525840917867,0.15526474514112676,0.15349636584554255
771,0.4693911038066619,0.32120646444106904,0.2425366371041072,0.16440322126460152,0.1619448278285614
772,0.45697236974068806,0.31557190881314373,0.23752867075740766,0.16376657597763253,0.16185071167492068
773,0.47956739701492634,0.3258166248641791,0.2445699031417858,0.17012638103345412,0.16590563047916276
774,0.4520087747262284,0.31898137712555835,0.23688948228185716,0.1553817792912274,0.15334293624413817
775,0.4615688264721745,0.3232315418085876,0.2407220707862128,0.164219807984187,0.16234563154354925
776,0.44641853885835214,0.3118769955277675,0.23555267841654906,0.15214560373918545,0.14924264097819478
777,0.4561622516132696,0.3187263917168389,0.23801216249334348,0.15592717187736663,0.15550014782993996
778,0.45952866438464873,0.3193492115586098,0.238063405229059,0.15377476445328725,0.1546322676393164
779,0.45677709738966016,0.3173366841677795,0.23592818766513815,0.1542900818194457,0.1532553204975764
780,0.47100922981298415,0.318806280297645,0.23677550228255057,0.16129477642155202,0.15817290671404452
781,0.4628568684697763,0.31357084859911377,0.23485616382303331,0.15261791428544486,0.1514745357711176
782,0.45265699775401086,0.3260598494687435,0.24343431990762734,0.16340290751247952,0.16144478584130567
783,0.45861961206089585,0.3198677521741641,0.2355956503913359,0.16101578360024874,0.1583177314213172
784,0.4656343910181216,0.33028265490685604,0.24355138125393777,0.1642569483207898,0.1613324229482827
785,0.4540156014593611,0.31501097449346005,0.23598430109388221,0.1573761871139125,0.15552117601959842
786,0.46580808808969554,0.32153130627468957,0.2444366744511692,0.16729978624561728,0.16350871421812127
787,0.47410042419184967,0.3218211667462147,0.23933768865143906,0.1642926176019454,0.16159815910472666
788,0.46194192748755,0.3239731974505203,0.23985067812024227,0.1639440727127013,0.161961246180595
789,0.4503501983736065,0.30636433969737487,0.23002655035157,0.15084803372598937,0.15015671782708023
790,0.46454128559240415,0.3145067769282569,0.23382048404471148,0.1560551860003213,0.15429157684728734
791,0.4491227018954389,0.3117950473443707,0.23354464475614886,0.15247152638600028,0.15121341225343804
792,0.47222490331604805,0.3252048987627441,0.24319454888785733,0.16570282531933364,0.16300137188098385
793,0.4632002528568844,0.31739322127090874,0.23703322851434272,0.16024976129661006,0.1581130183080089
794,0.46499554135844057,0.32554857012039995,0.24210678600868044,0.1632047180296986,0.1602569794234699
795,0.4664018525198638,0.3144170070429281,0.23502231406113086,0.15377353854149903,0.1518847981356387
796,0.46625094227223624,0.32621960429165636,0.24333243726020795,0.16819236276105717,0.16637684305930855
797,0.45989621631300487,0.3217049782296989,0.24711227588227735,0.16597721616098235,0.16492475866230943
798,0.48187820351904587,0.3299110373755007,0.24236920402590445,0.16723225778487097,0.16423472577206522
799,0.4600248286051228,0.3180137884388016,0.2334276340789295,0.15650784849882116,0.15345077858596196
800,0.45657117917228107,0.31934196210198224,0.2389950058829517,0.16466859676465637,0.1610034850679017
801,0.44256058266985815,0.31265354548577917,0.2320036621574585,0.15275863404335183,0.15082242348120334
802,0.4745742227709961,0.31705487608691396,0.23646729815549675,0.15767103810805663,0.15552084004078828
803,0.45879505239368074,0.31622348154541235,0.23872364649589775,0.15375100791499108,0.1520381589236212
804,0.4621900194258679,0.32180447795164274,0.23794326005533392,0.16179673776103717,0.15922927395564
805,0.4502441006065835,0.308096813852856,0.23239609670679348,0.15318373707584637,0.15138405493943366
806,0.46637694224671233,0.3204091070746997,0.23845277367915993,0.1636400415685041,0.1614859413716509
807,0.45105076433133173,0.3162368543927222,0.236250125563049,0.15794981983112807,0.15447373591447208
808,0.4528269132764342,0.3125877392451936,0.23711149522723524,0.15577713583983543,0.15590519057704333
809,0.4678334538079836,0.32116398008455077,0.23699824209367237,0.16079132401373936,0.1561966138488693
810,0.45906677707881133,0.31590081735048986,0.2321783318855604,0.15492152766973383,0.15253519824322426
811,0.45581419720546834,0.32242891867760975,0.24178970277850872,0.16702149240104286,0.16423935028798856
812,0.45561628752721617,0.3170125745621951,0.23501086939115326,0.1561427814431958,0.15219132997694695
813,0.463109222735,0.3159132796008379,0.2370496109023785,0.1589918180678485,0.15624989592299085
814,0.46074164909417037,0.32419004722644884,0.2449414216862454,0.16803097673052608,0.16629161528384453
815,0.46337779910980165,0.32349148000041467,0.23860683630660842,0.15836863415817928,0.15439588043718763
816,0.4648248618317994,0.32343844427192103,0.24069917452020068,0.16398425612106826,0.15925471158943152
817,0.4575539295505483,0.32210106008161243,0.24158236688018322,0.16465883849571258,0.1637939588352375
818,0.4510706025386908,0.3207625550080001,0.2397866594344578,0.15896114759788685,0.15566842846938764
819,0.46412442131724607,0.32086783482807046,0.23895627447734738,0.1648280789225421,0.15976828521085198
820,0.4702361876136795,0.32643312271717595,0.2455707832766708,0.16707842980594853,0.16590096101174637
821,0.4536898812621192,0.3212601771494866,0.23950182584327184,0.15924965489816184,0.15679514064766978
